Orthogroup,Arabidopsis,Cucumis,Nicotiana,Solanum
OG0008252,AT1G09230.1,MELO3C013491T1,NIOBTv3_g28893.t1,Solyc01g110820.4.1
OG0008258,AT1G71865.1,MELO3C023649T1,NIOBTv3_g06103.t1,Solyc11g013850.2.1
OG0008260,AT1G14750.1,MELO3C016674T1,NIOBTv3_g13797.t1,Solyc04g008070.3.1
OG0008264,AT1G68730.1,MELO3C012198T1,NIOBTv3_g15546.t1,Solyc05g010070.3.1
OG0008267,AT1G09330.1,MELO3C008924T1,NIOBTv3_g05322.t1,Solyc06g073270.4.1
OG0008269,AT1G77550.1,MELO3C015521T1,NIOBTv3_g11377.t1,Solyc07g041870.3.1
OG0008270,AT1G09340.1,MELO3C008920T1,NIOBTv3_g28024.t1,Solyc06g073260.3.1
OG0008273,AT1G70760.1,MELO3C005297T1,NIOBTv3_g26275.t1,Solyc05g026550.3.1
OG0008274,AT1G70750.1,MELO3C005294T1,NIOBTv3_g09039.t1,Solyc04g007870.3.1
OG0008275,AT1G12770.1,MELO3C014025T1,NIOBTv3_g01009.t1,Solyc08g080550.1.1
OG0008276,AT1G09280.1,MELO3C026102T1,NIOBTv3_g13702.t1,Solyc01g100730.3.1
OG0008277,AT1G09290.1,MELO3C022554T1,NIOBTv3_g06987.t1,Solyc01g020240.4.1
OG0008279,AT1G68850.1,MELO3C012183T1,NIOBTv3_g30915.t1,Solyc05g010330.4.1
OG0008281,AT1G70630.1,MELO3C011951T1,NIOBTv3_g38304.t1,Solyc05g013500.4.1
OG0008284,AT1G55870.1,MELO3C014116T1,NIOBTv3_g18122.t1,Solyc07g065620.4.1
OG0008286,AT1G71960.1,MELO3C024079T1,NIOBTv3_g14343.t1,Solyc11g018680.1.1
OG0008288,AT1G77670.1,MELO3C010461T1,NIOBTv3_g19497.t1,Solyc11g013170.2.1
OG0008290,AT1G77620.1,MELO3C010472T1,NIOBTv3_g23513.t1,Solyc06g060350.4.1
OG0008293,AT1G62750.1,MELO3C005565T1,NIOBTv3_g26760.t1,Solyc08g079180.3.1
OG0008303,AT1G60870.1,MELO3C019478T1,NIOBTv3_g35283.t1,Solyc01g104190.2.1
OG0008304,AT1G53860.1,MELO3C022698T1,NIOBTv3_g06513.t1,Solyc03g123590.4.1
OG0008305,AT1G34360.1,MELO3C020828T1,NIOBTv3_g16827.t1,Solyc01g111720.4.1
OG0008307,AT1G29700.1,MELO3C012219T1,NIOBTv3_g34431.t1,Solyc03g111700.3.1
OG0008310,AT1G53050.1,MELO3C019411T1,NIOBTv3_g27286.t1,Solyc07g063130.4.1
OG0008312,AT1G53040.1,MELO3C016700T1,NIOBTv3_g30695.t1,Solyc07g063150.3.1
OG0008315,AT1G53120.1,MELO3C019408T1,NIOBTv3_g13392.t1,Solyc12g013870.3.1
OG0008316,AT1G56260.1,MELO3C004210T1,NIOBTv3_g10375.t1,Solyc01g065710.3.1
OG0008324,AT1G07290.1,MELO3C020559T1,NIOBTv3_g31613.t1,Solyc06g076830.2.1
OG0008328,AT1G11430.1,MELO3C018163T1,NIOBTv3_g16676.t1,Solyc02g079770.3.1
OG0008329,AT1G11440.1,MELO3C002521T1,NIOBTv3_g16677.t1,Solyc02g079780.1.1
OG0008330,AT1G56300.1,MELO3C004203T1,NIOBTv3_g07101.t1,Solyc01g100230.3.1
OG0008332,AT1G56310.1,MELO3C015263T1,NIOBTv3_g07095.t1,Solyc01g100270.4.1
OG0008343,AT1G29860.1,MELO3C007157T1,NIOBTv3_g12331.t1,Solyc02g071130.4.1
OG0008346,AT1G56560.1,MELO3C004170T1,NIOBTv3_g13709.t1,Solyc01g100810.3.1
OG0008347,AT1G55580.1,MELO3C014029T1,NIOBTv3_g28486.t1,Solyc07g066250.1.1
OG0008350,AT1G61040.1,MELO3C017564T1,NIOBTv3_g03904.t1,Solyc02g078580.1.1
OG0008353,AT1G23220.1,MELO3C005289T1,NIOBTv3_g04486.t1,Solyc01g005460.4.1
OG0008354,AT1G79080.1,MELO3C010560T1,NIOBTv3_g04808.t1,Solyc07g066390.1.1
OG0008357,AT1G26940.1,MELO3C008553T1,NIOBTv3_g35212.t1,Solyc01g010590.2.1
OG0008358,AT1G23230.1,MELO3C005286T1,NIOBTv3_g13027.t1,Solyc05g016440.3.1
OG0008359,AT1G79090.1,MELO3C010566T1,NIOBTv3_g02016.t1,Solyc12g017260.2.1
OG0008361,AT1G29330.1,MELO3C007195T1,NIOBTv3_g16661.t1,Solyc02g072120.3.1
OG0008366,AT1G07060.1,MELO3C026086T1,NIOBTv3_g18503.t1,Solyc06g082320.4.1
OG0008368,AT1G07110.1,MELO3C026830T1,NIOBTv3_g33731.t1,Solyc06g082150.4.1
OG0008369,AT1G07040.1,MELO3C026498T1,NIOBTv3_g36685.t1,Solyc05g007060.4.1
OG0008371,AT1G53345.1,MELO3C001960T1,NIOBTv3_g08419.t1,Solyc03g098180.3.1
OG0008372,AT1G50170.1,MELO3C021568T1,NIOBTv3_g22789.t1,Solyc02g086560.3.1
OG0008373,AT1G29340.1,MELO3C002678T1,NIOBTv3_g09296.t1,Solyc02g072080.1.1
OG0008374,AT1G53320.1,MELO3C016130T1,NIOBTv3_g31692.t1,Solyc07g062390.4.1
OG0008376,AT1G06950.1,MELO3C020500T1,NIOBTv3_g00828.t1,Solyc09g031780.3.1
OG0008377,AT1G48090.1,MELO3C006741T1,NIOBTv3_g14723.t1,Solyc09g009370.4.1
OG0008378,AT1G04260.1,MELO3C006474T1,NIOBTv3_g02597.t1,Solyc09g083320.1.1
OG0008385,AT1G29280.1,MELO3C002675T1,NIOBTv3_g31688.t1,Solyc02g072190.4.1
OG0008389,AT1G56180.1,MELO3C012605T1,NIOBTv3_g18643.t1,Solyc07g066620.3.1
OG0008391,AT1G03600.1,MELO3C018748T1,NIOBTv3_g40350.t1,Solyc07g054290.1.1
OG0008393,AT1G07220.1,MELO3C020547T1,NIOBTv3_g05502.t1,Solyc06g076980.4.1
OG0008396,AT1G60790.1,MELO3C010677T1,NIOBTv3_g11484.t1,Solyc05g005100.4.1
OG0008398,AT1G67560.1,MELO3C011885T1,NIOBTv3_g16086.t1,Solyc05g014790.3.1
OG0008406,AT1G34430.1,MELO3C023666T1,NIOBTv3_g10385.t1,Solyc11g017250.2.1
OG0008407,AT1G56230.1,MELO3C015286T1,NIOBTv3_g40831.t1,Solyc01g099980.4.1
OG0008411,AT1G60060.1,MELO3C012014T1,NIOBTv3_g37560.t1,Solyc05g005810.4.1
OG0008413,AT1G27320.1,MELO3C022310T1,NIOBTv3_g03426.t1,Solyc05g015610.3.1
OG0008414,AT1G27340.1,MELO3C022422T1,NIOBTv3_g07212.t1,Solyc05g015520.3.1
OG0008416,AT1G05590.1,MELO3C026977T1,NIOBTv3_g35889.t1,Solyc01g081610.3.1
OG0008417,AT1G60080.1,MELO3C023136T1,NIOBTv3_g04956.t1,Solyc06g075390.4.1
OG0008420,AT1G60000.1,MELO3C006374T1,NIOBTv3_g26451.t1,Solyc09g090960.4.1
OG0008424,AT1G77230.1,MELO3C008461T1,NIOBTv3_g18787.t1,Solyc04g058200.3.1
OG0008426,AT1G50670.1,MELO3C013167T1,NIOBTv3_g25626.t1,Solyc07g064590.3.1
OG0008428,AT1G80190.1,MELO3C023404T1,NIOBTv3_g00422.t1,Solyc09g008630.3.1
OG0008433,AT1G11050.1,MELO3C019460T1,NIOBTv3_g30987.t1,Solyc01g104050.4.1
OG0008434,AT1G32080.1,MELO3C026723T1,NIOBTv3_g31910.t1,Solyc08g076290.3.1
OG0008436,AT1G32090.1,MELO3C013809T1,NIOBTv3_g06237.t1,Solyc08g076310.3.1
OG0008437,AT1G80080.1,MELO3C017862T1,NIOBTv3_g31156.t1,Solyc12g042760.1.1
OG0008438,AT1G42550.1,MELO3C017049T1,NIOBTv3_g32904.t1,Solyc10g006330.3.1
OG0008441,AT1G77130.1,MELO3C008407T1,NIOBTv3_g28475.t1,Solyc04g064790.3.1
OG0008446,AT1G32160.1,MELO3C003442T1,NIOBTv3_g25861.t1,Solyc08g076090.3.1
OG0008447,AT1G20830.1,MELO3C017048T1,NIOBTv3_g37468.t1,Solyc08g042080.3.1
OG0008449,AT1G34130.1,MELO3C002165T1,NIOBTv3_g31821.t1,Solyc03g098600.3.1
OG0008451,AT1G32190.1,MELO3C013821T1,NIOBTv3_g19820.t1,Solyc08g076350.3.1
OG0008458,AT1G54350.1,MELO3C019602T1,NIOBTv3_g10425.t1,Solyc12g017420.2.1
OG0008460,AT1G62730.1,MELO3C013973T1,NIOBTv3_g10713.t1,Solyc08g007440.2.1
OG0008461,AT1G02730.1,MELO3C017935T1,NIOBTv3_g42169.t1,Solyc09g075550.3.1
OG0008463,AT1G50710.1,MELO3C013162T1,NIOBTv3_g30185.t1,Solyc12g005050.2.1
OG0008469,AT1G11190.1,MELO3C002562T1,NIOBTv3_g36072.t1,Solyc02g078910.3.1
OG0008471,AT1G29990.1,MELO3C002717T1,NIOBTv3_g18634.t1,Solyc08g016420.3.1
OG0008472,AT1G11200.1,MELO3C002561T1,NIOBTv3_g32124.t1,Solyc02g078960.4.1
OG0008475,AT1G29950.1,MELO3C007151T1,NIOBTv3_g32730.t1,Solyc02g070880.1.1
OG0008476,AT1G29940.1,MELO3C011383T1,NIOBTv3_g04742.t1,Solyc01g086710.4.1
OG0008480,AT1G26750.1,MELO3C012117T1,NIOBTv3_g00381.t1,Solyc07g017410.3.1
OG0008481,AT1G26760.1,MELO3C012115T1,NIOBTv3_g12660.t1,Solyc05g007760.2.1
OG0008482,AT1G32340.1,MELO3C003429T1,NIOBTv3_g41950.t1,Solyc08g005150.3.1
OG0008484,AT1G56050.1,MELO3C010569T1,NIOBTv3_g11748.t1,Solyc07g066430.3.1
OG0008485,AT1G26810.1,MELO3C012101T1,NIOBTv3_g36546.t1,Solyc05g007930.3.1
OG0008489,AT1G79150.1,MELO3C012616T1,NIOBTv3_g04665.t1,Solyc04g074090.4.1
OG0008492,AT1G34300.1,MELO3C019944T1,NIOBTv3_g06106.t1,Solyc11g013880.1.1
OG0008494,AT1G03110.1,MELO3C015814T1,NIOBTv3_g34561.t1,Solyc06g008700.3.1
OG0008500,AT1G55590.1,MELO3C013232T1,NIOBTv3_g42305.t1,Solyc07g066240.3.1
OG0008502,AT1G56590.1,MELO3C026110T1,NIOBTv3_g13710.t1,Solyc01g100820.3.1
OG0008503,AT1G77020.1,MELO3C008428T1,NIOBTv3_g37149.t1,Solyc04g063390.2.1
OG0008505,AT1G79950.1,MELO3C024231T1,NIOBTv3_g08820.t1,Solyc03g120200.2.1
OG0008507,AT1G02910.1,MELO3C017970T1,NIOBTv3_g01126.t1,Solyc09g074880.4.1
OG0008511,AT1G26550.1,MELO3C002951T1,NIOBTv3_g19999.t1,Solyc12g036200.2.1
OG0008512,AT1G20760.1,MELO3C017039T1,NIOBTv3_g20114.t1,Solyc04g082560.4.1
OG0008513,AT1G79960.1,MELO3C024232T1,NIOBTv3_g08819.t1,Solyc03g120190.3.1
OG0008518,AT1G30010.1,MELO3C002733T1,NIOBTv3_g24108.t1,Solyc01g112025.1.1
OG0008521,AT1G54140.1,MELO3C024352T1,NIOBTv3_g25885.t1,Solyc04g010090.3.1
OG0008523,AT1G03030.1,MELO3C005753T1,NIOBTv3_g19762.t1,Solyc09g065860.3.1
OG0008525,AT1G54150.1,MELO3C024354T1,NIOBTv3_g13852.t1,Solyc12g049330.2.1
OG0008530,AT1G26640.1,MELO3C002980T1,NIOBTv3_g00520.t1,Solyc04g005520.3.1
OG0008531,AT1G02970.1,MELO3C016039T1,NIOBTv3_g30402.t1,Solyc09g074830.3.1
OG0008532,AT1G63810.1,MELO3C022270T1,NIOBTv3_g12378.t1,Solyc02g085230.3.1
OG0008533,AT1G44900.1,MELO3C026749T1,NIOBTv3_g15623.t1,Solyc11g040120.3.1
OG0008534,AT1G18170.1,MELO3C002126T1,NIOBTv3_g27857.t1,Solyc03g119150.4.1
OG0008543,AT1G21600.1,MELO3C010512T1,NIOBTv3_g05476.t1,Solyc04g057870.3.1
OG0008544,AT1G55090.1,MELO3C005756T1,NIOBTv3_g36915.t1,Solyc08g082830.3.1
OG0008546,AT1G31190.1,MELO3C025560T1,NIOBTv3_g09286.t1,Solyc02g069010.4.1
OG0008547,AT1G65230.1,MELO3C010008T1,NIOBTv3_g33416.t1,Solyc04g056580.3.1
OG0008548,AT1G09010.1,MELO3C015324T1,NIOBTv3_g28459.t1,Solyc01g099090.3.1
OG0008549,AT1G18100.1,MELO3C009627T1,NIOBTv3_g12227.t1,Solyc03g119100.2.1
OG0008550,AT1G51720.1,MELO3C013031T1,NIOBTv3_g07645.t1,Solyc01g068210.3.1
OG0008551,AT1G65280.1,MELO3C024104T1,NIOBTv3_g32836.t1,Solyc11g018670.3.1
OG0008554,AT1G65260.1,MELO3C017774T1,NIOBTv3_g32544.t1,Solyc11g008990.2.1
OG0008555,AT1G65270.2,MELO3C010021T1,NIOBTv3_g08947.t1,Solyc04g047720.4.1
OG0008557,AT1G27990.1,MELO3C022327T1,NIOBTv3_g08317.t1,Solyc05g015890.4.1
OG0008559,AT1G27900.1,MELO3C010734T1,NIOBTv3_g11921.t1,Solyc05g015040.4.1
OG0008560,AT1G18335.1,MELO3C001924T1,NIOBTv3_g12714.t1,Solyc06g072500.2.1
OG0008562,AT1G31050.1,MELO3C022574T1,NIOBTv3_g32744.t1,Solyc01g150101.1.1
OG0008565,AT1G08760.1,MELO3C022442T1,NIOBTv3_g38754.t1,Solyc06g073110.3.1
OG0008566,AT1G08780.1,MELO3C004390T1,NIOBTv3_g28598.t1,Solyc01g097300.4.1
OG0008568,AT1G45150.1,MELO3C003867T1,NIOBTv3_g19904.t1,Solyc04g080140.4.1
OG0008574,AT1G21580.1,MELO3C012713T1,NIOBTv3_g20559.t1,Solyc04g057990.4.1
OG0008575,AT1G77930.1,MELO3C011379T1,NIOBTv3_g28674.t1,Solyc12g056850.2.1
OG0008576,AT1G23070.1,MELO3C004661T1,NIOBTv3_g37475.t1,Solyc07g042090.4.1
OG0008577,AT1G04910.1,MELO3C006309T1,NIOBTv3_g00589.t1,Solyc05g053720.4.1
OG0008579,AT1G44960.1,MELO3C026753T1,NIOBTv3_g42733.t1,Solyc11g040130.2.1
OG0008580,AT1G04900.1,MELO3C015176T1,NIOBTv3_g63617.t1,Solyc12g098360.2.1
OG0008582,AT1G04880.1,MELO3C020449T1,NIOBTv3_g20189.t1,Solyc09g091960.3.1
OG0008585,AT1G27920.1,MELO3C011457T1,NIOBTv3_g07638.t1,Solyc05g015320.3.1
OG0008590,AT1G55740.1,MELO3C025599T1,NIOBTv3_g35124.t1,Solyc07g065980.3.1
OG0008591,AT1G27950.1,MELO3C011860T1,NIOBTv3_g10900.t1,Solyc05g015490.4.1
OG0008593,AT1G80860.2,MELO3C026739T1,NIOBTv3_g23481.t1,Solyc06g068470.3.1
OG0008597,AT1G73740.1,MELO3C002113T1,NIOBTv3_g23704.t1,Solyc03g118860.3.1
OG0008598,AT1G80870.1,MELO3C023470T1,NIOBTv3_g10433.t1,Solyc03g117550.1.1
OG0008599,AT1G80880.1,MELO3C023471T1,NIOBTv3_g39688.t1,Solyc03g117570.3.1
OG0008601,AT1G31430.1,MELO3C026626T1,NIOBTv3_g10388.t1,Solyc11g017290.1.1
OG0008602,AT1G31480.1,MELO3C008087T1,NIOBTv3_g00924.t1,Solyc01g008320.3.1
OG0008603,AT1G02150.1,MELO3C006227T1,NIOBTv3_g29406.t1,Solyc01g089870.3.1
OG0008604,AT1G21730.1,MELO3C010629T1,NIOBTv3_g33095.t1,Solyc06g060140.4.1
OG0008609,AT1G10522.1,MELO3C012025T1,NIOBTv3_g17946.t1,Solyc05g006110.3.1
OG0008611,AT1G80760.1,MELO3C017831T1,NIOBTv3_g32885.t1,Solyc03g117050.4.1
OG0008612,AT1G10510.1,MELO3C002989T1,NIOBTv3_g29566.t1,Solyc05g006170.4.1
OG0008613,AT1G21760.1,MELO3C010482T1,NIOBTv3_g20660.t1,Solyc11g012830.3.1
OG0008618,AT1G01770.1,MELO3C006127T1,NIOBTv3_g41052.t1,Solyc01g094330.3.1
OG0008619,AT1G73750.1,MELO3C002111T1,NIOBTv3_g23703.t1,Solyc03g118850.4.1
OG0008624,AT1G65410.1,MELO3C010074T1,NIOBTv3_g14281.t1,Solyc04g056650.4.1
OG0008626,AT1G65420.1,MELO3C010023T1,NIOBTv3_g16994.t1,Solyc03g063060.3.1
OG0008632,AT1G01970.1,MELO3C006182T1,NIOBTv3_g15774.t1,Solyc01g091450.3.1
OG0008636,AT1G01930.1,MELO3C006175T1,NIOBTv3_g08903.t1,Solyc01g091510.4.1
OG0008639,AT1G21710.1,MELO3C010637T1,NIOBTv3_g36091.t1,Solyc11g018510.2.1
OG0008640,AT1G24610.1,MELO3C005273T1,NIOBTv3_g12488.t1,Solyc01g005380.3.1
OG0008641,AT1G01940.1,MELO3C006176T1,NIOBTv3_g26094.t1,Solyc08g006090.3.1
OG0008644,AT1G10580.1,MELO3C011999T1,NIOBTv3_g32123.t1,Solyc02g078970.4.1
OG0008645,AT1G33811.1,MELO3C022200T1,NIOBTv3_g31847.t1,Solyc11g031960.2.1
OG0008648,AT1G80950.1,MELO3C010927T1,NIOBTv3_g15834.t1,Solyc04g080020.4.1
OG0008651,AT1G04700.1,MELO3C006335T1,NIOBTv3_g35210.t1,Solyc09g091460.3.1
OG0008652,AT1G10610.1,MELO3C011994T1,NIOBTv3_g12982.t1,Solyc05g005300.2.1
OG0008653,AT1G04690.1,MELO3C006336T1,NIOBTv3_g39696.t1,Solyc12g098150.2.1
OG0008655,AT1G08390.1,MELO3C004843T1,NIOBTv3_g02943.t1,Solyc11g066690.2.1
OG0008657,AT1G08380.1,MELO3C025587T1,NIOBTv3_g03553.t1,Solyc06g074200.4.1
OG0008658,AT1G18850.1,MELO3C007518T1,NIOBTv3_g25472.t1,Solyc06g071010.4.1
OG0008667,AT1G27510.1,MELO3C017096T1,NIOBTv3_g35394.t1,Solyc06g071430.3.1
OG0008673,AT1G08460.1,MELO3C025575T1,NIOBTv3_g03579.t1,Solyc06g074080.3.1
OG0008675,AT1G70000.1,MELO3C012039T1,NIOBTv3_g28792.t1,Solyc04g005100.3.1
OG0008678,AT1G13635.1,MELO3C012172T1,NIOBTv3_g32597.t1,Solyc05g010800.3.1
OG0008679,AT1G05190.1,MELO3C018813T1,NIOBTv3_g09051.t1,Solyc12g100160.3.1
OG0008680,AT1G64640.1,MELO3C013780T1,NIOBTv3_g39792.t1,Solyc08g066740.3.1
OG0008681,AT1G69980.1,MELO3C012041T1,NIOBTv3_g04334.t1,Solyc05g006580.3.1
OG0008682,AT1G64680.1,MELO3C013771T1,NIOBTv3_g27694.t1,Solyc08g008630.4.1
OG0008686,AT1G69830.1,MELO3C012071T1,NIOBTv3_g32325.t1,Solyc05g007070.2.1
OG0008687,AT1G27595.1,MELO3C003489T1,NIOBTv3_g08221.t1,Solyc04g076910.3.1
OG0008688,AT1G69680.1,MELO3C012087T1,NIOBTv3_g32560.t1,Solyc01g010810.4.1
OG0008689,AT1G69700.1,MELO3C012085T1,NIOBTv3_g02313.t1,Solyc05g007300.3.1
OG0008690,AT1G61600.1,MELO3C020038T1,NIOBTv3_g41705.t1,Solyc02g089650.3.1
OG0008691,AT1G54540.1,MELO3C023868T1,NIOBTv3_g10969.t1,Solyc03g019920.1.1
OG0008693,AT1G54520.1,MELO3C027297T1,NIOBTv3_g63552.t1,Solyc01g097860.4.1
OG0008698,AT1G79460.1,MELO3C012592T1,NIOBTv3_g04409.t1,Solyc03g124068.1.1
OG0008699,AT1G27530.1,MELO3C003490T1,NIOBTv3_g32568.t1,Solyc04g076890.4.1
OG0008700,AT1G13770.1,MELO3C011420T1,NIOBTv3_g40640.t1,Solyc05g012290.3.1
OG0008701,AT1G64600.1,MELO3C005771T1,NIOBTv3_g14297.t1,Solyc08g082880.4.1
OG0008703,AT1G27520.1,MELO3C017118T1,NIOBTv3_g16830.t1,Solyc03g113900.4.1
OG0008705,AT1G05385.1,MELO3C012648T1,NIOBTv3_g34372.t1,Solyc09g076030.4.1
OG0008706,AT1G64550.1,MELO3C005755T1,NIOBTv3_g24389.t1,Solyc08g082850.3.1
OG0008711,AT1G47310.1,MELO3C016722T1,NIOBTv3_g39510.t1,Solyc04g079540.3.1
OG0008713,AT1G08465.1,MELO3C014527T1,NIOBTv3_g23983.t1,Solyc06g073920.3.1
OG0008715,AT1G08640.1,MELO3C020566T1,NIOBTv3_g11669.t1,Solyc04g009940.4.1
OG0008720,AT1G18485.1,MELO3C017260T1,NIOBTv3_g13286.t1,Solyc03g114660.1.1
OG0008723,AT1G45230.1,MELO3C016755T1,NIOBTv3_g31245.t1,Solyc04g078850.4.1
OG0008724,AT1G05060.1,MELO3C018838T1,NIOBTv3_g22319.t1,Solyc07g049200.4.1
OG0008727,AT1G08610.1,MELO3C010129T1,NIOBTv3_g25094.t1,Solyc04g010050.4.1
OG0008731,AT1G04980.1,MELO3C019722T1,NIOBTv3_g05039.t1,Solyc07g049450.3.1
OG0008733,AT1G04985.1,MELO3C019724T1,NIOBTv3_g05037.t1,Solyc07g049470.4.1
OG0008734,AT1G21500.1,MELO3C011848T1,NIOBTv3_g23553.t1,Solyc12g019550.2.1
OG0008736,AT1G55000.1,MELO3C004254T1,NIOBTv3_g03389.t1,Solyc01g099130.3.1
