Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
PC-Esterase (IPR026057)	3.9	1e-04	20	71	NIOBTv3_g02423.t1, NIOBTv3_g04728.t1, NIOBTv3_g10533.t1, NIOBTv3_g10816.t1, NIOBTv3_g11389.t1, NIOBTv3_g12045.t1, NIOBTv3_g16870.t1, NIOBTv3_g17420.t1, NIOBTv3_g18388.t1, NIOBTv3_g18790.t1, NIOBTv3_g20888.t1, NIOBTv3_g21740.t1, NIOBTv3_g22160.t1, NIOBTv3_g26671.t1, NIOBTv3_g33559.t1, NIOBTv3_g34124.t1, NIOBTv3_g36147.t1, NIOBTv3_g36261.t1, NIOBTv3_g36763.t1, NIOBTv3_g56734.t1
Multicopper oxidase, type 1 (IPR001117)	3.8	9e-03	13	47	NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g15209.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g19445.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g27562.t1, NIOBTv3_g35364.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
Multicopper oxidase, type 2 (IPR011706)	3.8	9e-03	13	47	NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g15209.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g19445.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g27562.t1, NIOBTv3_g35364.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
NAD(P)-binding domain (IPR016040)	3.7	5e-02	10	37	NIOBTv3_g00697.t1, NIOBTv3_g01011.t1, NIOBTv3_g04475.t1, NIOBTv3_g06151.t1, NIOBTv3_g14481.t1, NIOBTv3_g19938.t1, NIOBTv3_g21996.t1, NIOBTv3_g37946.t1, NIOBTv3_g60298.t1, NIOBTv3_g60379.t1
Major intrinsic protein (IPR000425)	3.7	9e-03	13	49	NIOBTv3_g00781.t1, NIOBTv3_g07059.t1, NIOBTv3_g07974.t1, NIOBTv3_g15174.t1, NIOBTv3_g19381.t1, NIOBTv3_g20096.t1, NIOBTv3_g20097.t1, NIOBTv3_g26512.t1, NIOBTv3_g27353.t1, NIOBTv3_g27433.t1, NIOBTv3_g31640.t1, NIOBTv3_g39701.t1, NIOBTv3_g64458.t1
NAD-dependent epimerase/dehydratase (IPR001509)	3.7	8e-02	9	34	NIOBTv3_g02948.t1, NIOBTv3_g05368.t1, NIOBTv3_g13381.t1, NIOBTv3_g14948.t1, NIOBTv3_g23338.t1, NIOBTv3_g27007.t1, NIOBTv3_g28024.t1, NIOBTv3_g34596.t1, NIOBTv3_g63178.t1
Plant peroxidase (IPR000823)	3.3	4e-04	22	91	NIOBTv3_g04247.t1, NIOBTv3_g05076.t1, NIOBTv3_g05139.t1, NIOBTv3_g05222.t1, NIOBTv3_g05756.t1, NIOBTv3_g11301.t1, NIOBTv3_g13322.t1, NIOBTv3_g13452.t1, NIOBTv3_g15022.t1, NIOBTv3_g21840.t1, NIOBTv3_g24341.t1, NIOBTv3_g25535.t1, NIOBTv3_g28611.t1, NIOBTv3_g28759.t1, NIOBTv3_g29168.t1, NIOBTv3_g29281.t1, NIOBTv3_g29855.t1, NIOBTv3_g32514.t1, NIOBTv3_g32515.t1, NIOBTv3_g36572.t1, NIOBTv3_g38103.t1, NIOBTv3_g39204.t1
Pectinesterase, catalytic (IPR000070)	3.2	1e-02	15	64	NIOBTv3_g03834.t1, NIOBTv3_g04359.t1, NIOBTv3_g06274.t1, NIOBTv3_g07270.t1, NIOBTv3_g07271.t1, NIOBTv3_g11054.t1, NIOBTv3_g25208.t1, NIOBTv3_g29596.t1, NIOBTv3_g30246.t1, NIOBTv3_g30247.t1, NIOBTv3_g33399.t1, NIOBTv3_g38333.t1, NIOBTv3_g38954.t1, NIOBTv3_g40928.t1, NIOBTv3_g41442.t1
Haem peroxidase (IPR002016)	3.2	4e-04	23	99	NIOBTv3_g04247.t1, NIOBTv3_g05076.t1, NIOBTv3_g05139.t1, NIOBTv3_g05222.t1, NIOBTv3_g05756.t1, NIOBTv3_g11301.t1, NIOBTv3_g13322.t1, NIOBTv3_g13452.t1, NIOBTv3_g15022.t1, NIOBTv3_g21840.t1, NIOBTv3_g24341.t1, NIOBTv3_g25535.t1, NIOBTv3_g26025.t1, NIOBTv3_g28611.t1, NIOBTv3_g28759.t1, NIOBTv3_g29168.t1, NIOBTv3_g29281.t1, NIOBTv3_g29855.t1, NIOBTv3_g32514.t1, NIOBTv3_g32515.t1, NIOBTv3_g36572.t1, NIOBTv3_g38103.t1, NIOBTv3_g39204.t1
Glutathione S-transferase, N-terminal (IPR004045)	3	6e-02	13	60	NIOBTv3_g01060.t1, NIOBTv3_g01616.t1, NIOBTv3_g05979.t1, NIOBTv3_g16484.t1, NIOBTv3_g35712.t1, NIOBTv3_g35749.t1, NIOBTv3_g36191.t1, NIOBTv3_g36810.t1, NIOBTv3_g39300.t1, NIOBTv3_g39301.t1, NIOBTv3_g39947.t1, NIOBTv3_g40726.t1, NIOBTv3_g41135.t1
Glutathione S-transferase, C-terminal-like (IPR010987)	3	6e-02	13	60	NIOBTv3_g01060.t1, NIOBTv3_g01616.t1, NIOBTv3_g05979.t1, NIOBTv3_g16484.t1, NIOBTv3_g35712.t1, NIOBTv3_g35749.t1, NIOBTv3_g36191.t1, NIOBTv3_g36810.t1, NIOBTv3_g39300.t1, NIOBTv3_g39301.t1, NIOBTv3_g39947.t1, NIOBTv3_g40726.t1, NIOBTv3_g41135.t1
Pectinesterase inhibitor domain (IPR006501)	2.7	9e-03	21	109	NIOBTv3_g03798.t1, NIOBTv3_g03834.t1, NIOBTv3_g04359.t1, NIOBTv3_g06274.t1, NIOBTv3_g07270.t1, NIOBTv3_g07271.t1, NIOBTv3_g11054.t1, NIOBTv3_g19080.t1, NIOBTv3_g22353.t1, NIOBTv3_g22741.t1, NIOBTv3_g25208.t1, NIOBTv3_g30246.t1, NIOBTv3_g30247.t1, NIOBTv3_g33399.t1, NIOBTv3_g37798.t1, NIOBTv3_g38333.t1, NIOBTv3_g38575.t1, NIOBTv3_g38954.t1, NIOBTv3_g39707.t1, NIOBTv3_g40928.t1, NIOBTv3_g41442.t1
Cytochrome P450, E-class, group I (IPR002401)	2	4e-02	31	214	NIOBTv3_g01617.t1, NIOBTv3_g03402.t1, NIOBTv3_g03489.t1, NIOBTv3_g04089.t1, NIOBTv3_g05797.t1, NIOBTv3_g07090.t1, NIOBTv3_g08073.t1, NIOBTv3_g09986.t1, NIOBTv3_g11111.t1, NIOBTv3_g15045.t1, NIOBTv3_g17181.t1, NIOBTv3_g17183.t1, NIOBTv3_g19130.t1, NIOBTv3_g21000.t1, NIOBTv3_g21442.t1, NIOBTv3_g22563.t1, NIOBTv3_g22564.t1, NIOBTv3_g23040.t1, NIOBTv3_g23306.t1, NIOBTv3_g23443.t1, NIOBTv3_g23771.t1, NIOBTv3_g24768.t1, NIOBTv3_g25842.t1, NIOBTv3_g26511.t1, NIOBTv3_g27136.t1, NIOBTv3_g29999.t1, NIOBTv3_g30422.t1, NIOBTv3_g35114.t1, NIOBTv3_g38865.t1, NIOBTv3_g38884.t1, NIOBTv3_g40676.t1
Cytochrome P450 (IPR001128)	2	3e-02	34	240	NIOBTv3_g01617.t1, NIOBTv3_g01643.t1, NIOBTv3_g03402.t1, NIOBTv3_g03489.t1, NIOBTv3_g04089.t1, NIOBTv3_g05797.t1, NIOBTv3_g07090.t1, NIOBTv3_g08073.t1, NIOBTv3_g09986.t1, NIOBTv3_g11111.t1, NIOBTv3_g15045.t1, NIOBTv3_g17181.t1, NIOBTv3_g17183.t1, NIOBTv3_g19130.t1, NIOBTv3_g21000.t1, NIOBTv3_g21442.t1, NIOBTv3_g22563.t1, NIOBTv3_g22564.t1, NIOBTv3_g23040.t1, NIOBTv3_g23306.t1, NIOBTv3_g23389.t1, NIOBTv3_g23443.t1, NIOBTv3_g23771.t1, NIOBTv3_g24768.t1, NIOBTv3_g25842.t1, NIOBTv3_g26511.t1, NIOBTv3_g27136.t1, NIOBTv3_g29999.t1, NIOBTv3_g30422.t1, NIOBTv3_g35114.t1, NIOBTv3_g36533.t1, NIOBTv3_g38865.t1, NIOBTv3_g38884.t1, NIOBTv3_g40676.t1
