AT5G23090.4	PF00808
AT4G34500.1	PF07714
AT3G20380.1	PF00917
AT3G20380.1	PF00917
AT5G45630.1	PF04520
AT5G65158.1	PF01477
AT4G30030.1	PF14541
AT4G30030.1	PF14543
AT4G31490.1	PF07718
AT4G31490.1	PF01602
AT4G31490.1	PF14806
AT1G25330.1	PF00010
AT1G51810.1	PF12819
AT1G51810.1	PF00069
AT1G51810.1	PF13855
AT1G79340.1	PF00656
AT4G22640.1	PF14368
AT4G11460.1	PF07714
AT4G11460.1	PF01657
AT4G11460.1	PF01657
AT5G41650.1	PF00903
AT4G17920.1	PF13639
AT4G38670.2	PF00314
AT1G73460.1	PF00069
AT5G26580.1	PF00319
AT5G23150.1	PF00855
AT5G23150.1	PF04818
AT3G20530.1	PF00069
AT4G00480.1	PF14215
AT1G78915.1	PF13432
AT1G78915.1	PF13432
AT3G24110.1	PF13499
AT1G63210.1	PF14635
AT1G63210.1	PF17674
AT1G63210.1	PF14633
AT1G63210.1	PF14639
AT2G29730.1	PF00201
AT3G22260.2	PF02338
AT3G22260.3	PF02338
AT4G14385.2	PF09340
AT1G21640.1	PF01513
AT1G20130.1	PF00657
AT1G25280.2	PF01167
AT1G25280.3	PF01167
AT2G15290.1	PF12263
AT5G14800.1	PF03807
AT5G14800.1	PF14748
AT1G01320.1	PF13424
AT1G01320.1	PF13424
AT1G01320.1	PF12807
AT1G01320.1	PF15044
AT5G59110.1	PF17766
AT1G04140.1	PF00400
AT5G11030.1	PF08568
AT5G11030.1	PF08568
AT1G04420.1	PF00248
AT2G22970.3	PF00450
AT2G45720.2	PF00514
AT2G45720.1	PF00514
AT5G01140.1	PF05056
AT5G37930.1	PF03145
AT3G18840.2	PF13041
AT3G18840.2	PF13041
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT3G18840.2	PF01535
AT1G51390.1	PF01106
AT1G51390.1	PF08712
AT4G22330.1	PF05875
AT1G22480.1	PF02298
AT1G15015.1	PF00646
AT3G03330.1	PF00106
AT5G47900.3	PF07786
AT1G70290.1	PF00982
AT1G70290.1	PF02358
AT1G24180.1	PF00676
AT2G42680.1	PF08523
AT2G42680.1	PF01381
AT3G03840.1	PF02519
AT1G43630.1	PF05633
AT1G47578.1	PF03099
AT3G06920.1	PF13041
AT3G06920.1	PF13041
AT3G06920.1	PF13041
AT3G06920.1	PF13041
AT3G06920.1	PF13041
AT3G06920.1	PF13041
AT3G06920.1	PF01535
AT3G06920.1	PF01535
AT3G06920.1	PF01535
AT3G06920.1	PF13812
AT3G06920.1	PF12854
AT3G06920.1	PF12854
AT3G06920.1	PF12854
AT4G03320.1	PF16166
AT4G39880.1	PF00276
AT3G43520.1	PF03647
AT1G55210.2	PF03018
AT1G55210.1	PF03018
AT5G40240.1	PF00892
AT5G40240.1	PF00892
AT3G47180.1	PF13639
AT3G26090.1	PF00615
AT1G79920.1	PF00012
AT3G46710.1	PF18052
AT3G46710.1	PF00931
AT4G38360.2	PF03619
AT4G09690.1	PF03107
AT4G09690.1	PF03107
AT4G09690.1	PF03107
AT3G24440.1	PF07227
AT3G24440.1	PF00041
AT5G47480.1	PF12932
AT5G47480.1	PF12931
AT5G15550.2	PF08154
AT5G15550.2	PF00400
AT5G15550.2	PF00400
AT5G15550.2	PF00400
AT5G15550.2	PF00400
AT5G37510.1	PF09326
AT5G37510.1	PF13510
AT5G37510.1	PF10588
AT5G37510.1	PF00384
AT2G14560.2	PF04525
AT2G46240.1	PF02179
AT1G65320.1	PF00571
AT4G19000.1	PF08711
AT5G67411.1	PF03514
AT1G49530.1	PF00348
AT1G44750.2	PF16913
AT5G47460.1	PF13041
AT5G47460.1	PF13041
AT5G47460.1	PF13041
AT5G47460.1	PF01535
AT5G47460.1	PF01535
AT5G47460.1	PF01535
AT5G47460.1	PF12854
AT5G59440.2	PF02223
AT2G47210.1	PF05499
AT2G47210.1	PF16282
AT1G71015.1	PF14009
AT5G09730.1	PF00933
AT5G09730.1	PF01915
AT5G09730.1	PF14310
AT3G55850.2	PF07969
AT5G10930.1	PF00069
AT5G10930.1	PF03822
AT5G57565.2	PF00069
AT3G24890.1	PF00957
AT1G77760.1	PF03404
AT1G77760.1	PF00970
AT1G77760.1	PF00174
AT1G77760.1	PF00175
AT1G77760.1	PF00173
AT1G08465.1	PF04690
AT4G01310.1	PF00673
AT4G01310.1	PF00281
AT1G63430.2	PF08263
AT1G63430.2	PF00560
AT1G63430.2	PF07714
AT1G53270.1	PF00005
AT1G53270.1	PF01061
AT3G29340.1	PF13912
AT3G29340.1	PF13912
AT3G29340.1	PF13912
AT3G29340.1	PF13912
AT3G29340.1	PF13912
AT5G66920.1	PF07731
AT5G66920.1	PF00394
AT5G66920.1	PF07732
AT1G66150.1	PF00069
AT1G66150.1	PF13855
AT1G66150.1	PF08263
AT1G66150.1	PF08263
AT1G51600.2	PF00320
AT1G51600.2	PF06200
AT1G51600.2	PF06203
AT1G51600.1	PF00320
AT1G51600.1	PF06200
AT1G51600.1	PF06203
AT2G45100.1	PF07741
AT2G45100.1	PF00382
AT2G45100.1	PF00382
AT2G13960.2	PF00249
AT4G23210.2	PF01657
AT4G23210.2	PF01657
AT4G23210.2	PF00069
AT5G51020.1	PF06206
AT4G34790.1	PF02519
AT1G51320.1	PF00646
AT1G51320.1	PF07734
AT3G24982.1	PF13855
AT3G24982.1	PF13855
AT3G24982.1	PF00560
AT3G24982.1	PF00560
AT3G24982.1	PF00560
AT3G07740.4	PF00249
AT3G07740.4	PF00569
AT5G09660.3	PF00056
AT5G09660.3	PF02866
AT4G09465.1	PF07983
AT5G04150.1	PF00010
AT5G52780.1	PF11947
AT3G14415.3	PF01070
AT3G14415.1	PF01070
AT1G61690.1	PF01363
AT2G25870.1	PF02130
AT2G25870.1	PF08282
AT1G15180.1	PF01554
AT1G15180.1	PF01554
AT2G39840.1	PF00149
AT2G39840.1	PF16891
AT2G39360.1	PF12819
AT2G39360.1	PF07714
AT3G16040.1	PF09072
AT4G29580.2	PF08211
AT1G72125.1	PF00854
AT1G09850.1	PF00396
AT1G09850.1	PF08246
AT1G09850.1	PF00112
AT3G14020.1	PF02045
AT4G14710.4	PF03079
AT3G59730.1	PF00069
AT3G59730.1	PF00139
AT3G46240.1	PF12819
AT3G46240.1	PF12819
AT5G25040.3	PF03092
AT5G25040.3	PF03092
AT1G67400.1	PF04727
AT3G22630.1	PF00227
AT5G04900.1	PF00106
AT3G47820.1	PF00514
AT3G47820.1	PF00514
AT3G47820.1	PF04564
AT1G66860.1	PF07722
AT5G43850.1	PF03079
AT3G05930.1	PF00190
AT5G25530.1	PF00226
AT5G25530.1	PF01556
AT2G26350.1	PF13639
AT2G26350.1	PF04757
AT1G48570.1	PF00641
AT1G48570.1	PF00641
AT3G12030.1	PF01956
AT2G01930.2	PF06217
AT2G01930.1	PF06217
AT5G48760.2	PF00572
AT5G48760.1	PF00572
AT1G33490.1	PF09835
AT1G29220.2	PF07818
AT5G61700.1	PF00005
AT2G42250.1	PF00067
AT5G23080.2	PF01805
AT5G23080.2	PF07713
AT4G38140.1	PF13639
AT5G19410.1	PF00005
AT5G19410.1	PF01061
AT2G25970.1	PF00013
AT2G25970.1	PF00013
AT4G22305.1	PF02230
AT3G22300.1	PF00338
AT4G20740.1	PF01535
AT4G20740.1	PF12854
AT4G20740.1	PF13041
AT4G20740.1	PF13041
AT4G20740.1	PF13041
AT4G20740.1	PF13812
AT1G47550.1	PF09763
AT1G47550.1	PF15277
AT1G72150.1	PF03765
AT1G72150.1	PF00650
AT5G28823.1	PF14111
AT4G20000.1	PF05678
AT5G10530.1	PF00069
AT5G10530.1	PF00139
AT3G14630.1	PF00067
AT3G25930.1	PF00582
AT1G15350.2	PF13259
AT1G15350.2	PF13259
AT1G15350.1	PF13259
AT1G15350.1	PF13259
AT3G09500.1	PF00831
AT1G02530.1	PF00005
AT1G02530.1	PF00005
AT1G02530.1	PF00664
AT1G02530.1	PF00664
AT4G33880.1	PF00010
AT3G54950.1	PF01734
AT4G20480.1	PF01936
AT2G44620.1	PF00550
AT3G14310.1	PF01095
AT3G14310.1	PF04043
AT1G52990.1	PF13456
AT1G52990.1	PF00085
AT3G14570.2	PF02364
AT3G14570.2	PF02364
AT3G14570.2	PF14288
AT3G14570.2	PF04652
AT5G23010.1	PF00682
AT1G71691.1	PF00657
AT3G16020.1	PF07734
AT1G34190.1	PF02365
AT2G04039.1	PF11210
AT4G14980.1	PF03107
AT4G14980.1	PF03107
AT4G14980.1	PF03107
AT4G14980.1	PF03107
AT4G14980.1	PF03107
AT5G50950.2	PF00206
AT5G50950.2	PF10415
AT4G28130.1	PF00609
AT4G28130.1	PF00781
AT2G19540.1	PF12265
AT2G19540.1	PF00400
AT2G19540.1	PF00400
AT1G01630.1	PF00650
AT3G57070.1	PF00462
AT5G18830.2	PF03110
AT2G05410.1	PF00917
AT4G38560.1	PF05278
AT3G11840.1	PF04564
AT4G18375.1	PF00013
AT4G18375.1	PF00013
AT4G18375.1	PF00013
AT4G18375.1	PF00013
AT4G36530.2	PF12697
AT3G47450.2	PF01926
AT1G16040.1	PF06699
AT1G10850.1	PF13855
AT1G10850.1	PF00069
AT1G10850.1	PF08263
AT3G17712.1	PF08424
AT2G16960.2	PF13513
AT3G11320.1	PF03151
AT5G62165.3	PF01486
AT5G62165.3	PF00319
AT5G62165.1	PF01486
AT5G62165.1	PF00319
AT5G62165.2	PF01486
AT5G62165.2	PF00319
AT3G05760.2	PF12874
AT4G22810.1	PF03479
AT4G15900.1	PF00400
AT4G15900.1	PF00400
AT4G15900.1	PF00400
AT4G15900.1	PF00400
AT4G15900.1	PF00400
AT2G29480.1	PF13410
AT2G29480.1	PF02798
AT4G18710.2	PF00069
AT5G47175.1	PF07333
AT1G32930.1	PF13334
AT1G32930.1	PF01762
AT5G45960.1	PF00657
AT1G71390.1	PF00560
AT1G71390.1	PF13855
AT1G71390.1	PF13855
AT1G71390.1	PF13855
AT1G71390.1	PF08263
AT1G27050.1	PF00076
AT3G02230.1	PF03214
AT1G53490.1	PF14634
AT1G57800.1	PF00097
AT1G57800.1	PF02182
AT1G57800.1	PF13445
AT2G38830.1	PF09454
AT2G38830.1	PF05743
AT3G03790.3	PF12796
AT3G03790.3	PF00415
AT3G03790.3	PF00415
AT3G03790.3	PF00415
AT3G03790.3	PF00415
AT1G02850.5	PF00232
AT2G22880.1	PF05678
AT3G61700.1	PF09713
AT5G08530.1	PF10531
AT5G08530.1	PF10589
AT5G08530.1	PF01512
AT1G55880.2	PF00291
AT2G19970.1	PF00188
AT2G28580.1	PF03140
AT5G64200.2	PF00076
AT5G64200.1	PF00076
AT4G01370.1	PF00069
AT4G34280.1	PF00400
AT4G21390.1	PF08276
AT4G21390.1	PF00954
AT4G21390.1	PF07714
AT4G21390.1	PF01453
AT3G45630.1	PF00076
AT3G45630.1	PF14570
AT3G07790.1	PF09751
AT2G02890.1	PF00646
AT2G02890.1	PF08268
AT4G37280.1	PF11717
AT4G37280.1	PF05712
AT1G72330.1	PF00155
AT1G13790.1	PF03468
AT1G13790.1	PF03469
AT1G13790.1	PF03470
AT1G17200.2	PF04535
AT5G16486.1	PF13966
AT1G32700.1	PF04640
AT3G61130.1	PF01501
AT5G42540.1	PF00098
AT5G42540.1	PF17846
AT5G42540.1	PF03159
AT5G42325.1	PF07500
AT3G13800.2	PF12706
AT2G42850.1	PF00067
AT5G46530.1	PF05512
AT3G02680.1	PF00498
AT4G29370.1	PF00646
AT4G29370.1	PF01344
AT1G44810.1	PF04504
AT5G20050.1	PF00069
AT4G33510.2	PF01474
AT4G38470.1	PF07714
AT4G38470.1	PF01842
AT3G03650.1	PF03016
AT4G17905.1	PF13639
AT3G15980.3	PF04053
AT3G15980.3	PF00400
AT3G15980.3	PF00400
AT3G15980.3	PF00400
AT3G15980.3	PF00400
AT3G15980.2	PF04053
AT3G15980.2	PF00400
AT3G15980.2	PF00400
AT3G15980.2	PF00400
AT3G15980.2	PF00400
AT2G21800.2	PF02732
AT1G78500.1	PF13243
AT1G78500.1	PF13249
AT1G43700.1	PF00170
AT3G60700.1	PF06651
AT1G10560.1	PF00514
AT1G10560.1	PF04564
AT1G26700.1	PF03094
AT5G22490.1	PF06974
AT5G22490.1	PF03007
AT3G06700.1	PF01779
AT3G06700.2	PF01779
AT3G06700.3	PF01779
AT5G16880.1	PF03127
AT5G16880.1	PF00790
AT5G16880.2	PF03127
AT5G16880.2	PF00790
AT2G41473.1	PF00646
AT4G04480.1	PF14476
AT1G06280.1	PF03195
AT3G62910.1	PF00472
AT3G62910.1	PF03462
AT2G22740.1	PF05033
AT2G22740.1	PF00856
AT2G22740.1	PF02182
AT2G22740.2	PF05033
AT2G22740.2	PF00856
AT2G22740.2	PF02182
AT3G62770.1	PF00400
AT5G22370.2	PF03029
AT5G22370.1	PF03029
AT1G19320.1	PF00314
AT1G58280.4	PF00300
AT3G12810.1	PF00271
AT3G12810.1	PF00176
AT3G12810.1	PF07529
AT4G23895.3	PF00334
AT3G22150.1	PF01535
AT3G22150.1	PF01535
AT3G22150.1	PF13041
AT3G22150.1	PF13041
AT3G22150.1	PF13041
AT3G22150.1	PF13041
AT3G26040.1	PF02458
AT4G03115.1	PF00153
AT4G03115.1	PF00153
AT4G03115.1	PF00153
AT3G50050.1	PF14541
AT3G50050.1	PF14543
AT1G33110.2	PF01554
AT1G33110.2	PF01554
AT5G42770.2	PF02545
AT2G22121.1	PF07333
AT2G14285.1	PF01423
AT5G65050.2	PF00319
AT5G65050.2	PF01486
AT1G75520.1	PF05142
AT4G08870.2	PF00491
AT4G21870.1	PF00011
AT3G16120.1	PF01221
AT2G35610.1	PF03407
AT5G48830.2	PF12452
AT5G48830.2	PF12452
AT3G16400.1	PF01419
AT3G16400.1	PF13415
AT3G16400.1	PF01344
AT3G16400.1	PF01344
AT3G16400.2	PF01419
AT3G16400.2	PF13415
AT3G16400.2	PF01344
AT3G16400.2	PF01344
AT5G57190.1	PF00168
AT5G57190.1	PF02666
AT5G57190.1	PF13833
AT1G62980.1	PF03330
AT1G62980.1	PF01357
AT2G06420.1	PF09331
AT5G47220.1	PF00847
AT4G16630.1	PF00270
AT4G16630.1	PF00271
AT1G18510.1	PF00335
AT3G22800.1	PF08263
AT3G22800.1	PF13855
AT3G53900.2	PF14681
AT1G30190.1	PF05553
AT2G28370.1	PF04535
AT5G36890.2	PF00232
AT5G58770.1	PF01255
AT5G43170.1	PF13912
AT5G43170.1	PF13912
AT5G45820.1	PF03822
AT5G45820.1	PF00069
AT5G55060.1	PF13890
AT2G10440.2	PF16987
AT5G39990.1	PF02485
AT1G63360.1	PF00931
AT1G63360.1	PF13855
AT5G26030.1	PF00762
AT5G26030.2	PF00762
AT3G47530.1	PF01535
AT3G47530.1	PF01535
AT3G47530.1	PF13041
AT3G47530.1	PF14432
AT1G66550.1	PF03106
AT1G28710.2	PF03407
AT1G19380.1	PF06708
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G10170.1	PF01422
AT1G48880.1	PF14416
AT1G48880.1	PF13839
AT1G71680.1	PF01490
AT4G11010.1	PF00334
AT2G36190.1	PF08244
AT2G36190.1	PF00251
AT2G31070.1	PF03634
AT2G07680.1	PF00664
AT2G07680.1	PF00664
AT2G07680.1	PF00005
AT2G07680.1	PF00005
AT3G18070.1	PF00232
AT4G00020.1	PF00634
AT4G00020.1	PF00634
AT4G00020.1	PF00634
AT4G00020.1	PF00634
AT4G00020.1	PF09103
AT4G00020.1	PF09169
AT5G13290.2	PF00069
AT2G30810.1	PF02704
AT1G15460.1	PF00955
AT1G15460.1	PF00955
AT1G15460.1	PF00955
AT3G49010.3	PF01294
AT3G49010.1	PF01294
AT3G49010.2	PF01294
AT4G01400.3	PF13041
AT4G01400.3	PF13041
AT4G01400.3	PF01535
AT4G01400.3	PF01535
AT4G01400.3	PF12854
AT5G64950.1	PF02536
AT1G66120.1	PF00501
AT1G66120.1	PF13193
AT4G25434.2	PF18290
AT4G25434.2	PF00293
AT3G10890.1	PF00150
AT5G40140.1	PF00514
AT5G40140.1	PF04564
AT1G36180.2	PF02786
AT1G36180.2	PF00289
AT3G19680.1	PF06219
AT4G15700.1	PF00462
AT3G47420.1	PF07690
AT4G39090.1	PF00112
AT4G39090.1	PF08246
AT5G22600.1	PF08387
AT5G22600.1	PF07723
AT5G13290.3	PF00069
AT1G59550.1	PF00789
AT1G59550.1	PF14555
AT2G36960.2	PF00249
AT2G35880.1	PF06886
AT2G42510.1	PF04938
AT5G08080.1	PF05739
AT5G08080.1	PF00804
AT3G09190.1	PF00139
AT1G72190.1	PF02826
AT1G72190.1	PF00389
AT2G32630.1	PF13812
AT2G32630.1	PF01535
AT2G32630.1	PF12854
AT2G32630.1	PF13041
AT2G32630.1	PF13041
AT2G32630.1	PF13041
AT2G32630.1	PF13041
AT2G32980.1	PF15003
AT3G23620.1	PF04427
AT3G24780.1	PF11443
AT1G35470.1	PF00622
AT1G35470.1	PF10607
AT5G17350.1	PF14009
AT1G21530.2	PF13193
AT1G21530.2	PF00501
AT1G74960.1	PF02801
AT1G74960.1	PF00109
AT1G74960.3	PF02801
AT1G74960.3	PF00109
AT1G74960.2	PF02801
AT1G74960.2	PF00109
AT5G27450.1	PF00288
AT5G27450.1	PF08544
AT5G27450.3	PF00288
AT5G27450.3	PF08544
AT5G27450.2	PF00288
AT5G27450.2	PF08544
AT5G58280.1	PF02362
AT1G14310.1	PF13419
ATMG00160.1	PF00116
ATMG00160.1	PF02790
AT3G62260.2	PF00481
AT1G61850.2	PF01734
AT1G61850.2	PF00514
AT1G61850.2	PF13855
AT5G58230.1	PF00400
AT5G58230.1	PF00400
AT5G58230.1	PF00400
AT5G58230.1	PF12265
AT1G34380.2	PF02739
AT1G34380.2	PF01367
AT3G10640.1	PF03357
AT5G59130.2	PF17766
AT5G59130.2	PF05922
AT5G59130.2	PF00082
AT5G49900.1	PF12215
AT5G49900.1	PF04685
AT2G14910.2	PF05542
AT2G14910.2	PF05542
AT3G61415.2	PF01466
AT1G27840.3	PF00400
AT1G27840.3	PF00400
AT1G27840.3	PF00400
AT1G27840.3	PF00400
AT5G29000.1	PF14379
AT5G29000.1	PF00249
AT5G29000.3	PF14379
AT5G29000.3	PF00249
AT4G12430.1	PF02358
AT2G18230.1	PF00719
AT4G26440.1	PF03106
AT4G26440.1	PF03106
AT5G57740.1	PF12796
AT5G57740.1	PF12796
AT5G57740.1	PF12796
AT5G13940.1	PF12576
AT4G12960.1	PF03227
AT4G04110.1	PF01582
AT3G17440.2	PF12352
AT3G53970.1	PF11566
AT1G68540.2	PF01370
AT3G57250.1	PF03735
AT4G36290.1	PF13589
AT4G36290.1	PF17942
AT4G28250.2	PF03330
AT4G28250.2	PF01357
AT5G20440.1	PF03637
AT5G12400.1	PF00628
AT5G12400.1	PF02791
AT2G25470.1	PF13855
AT2G25470.1	PF13855
AT2G25470.1	PF08263
AT2G34080.1	PF08246
AT2G34080.1	PF00112
AT5G01180.1	PF00854
AT5G06330.1	PF03168
AT5G01840.1	PF13724
AT5G01840.1	PF04844
AT5G15150.1	PF02183
AT5G15150.1	PF00046
AT3G07380.1	PF01697
AT1G64110.2	PF00004
AT1G64110.2	PF17862
AT1G51330.1	PF00079
AT1G59500.1	PF03321
AT1G16750.1	PF04784
AT1G16750.1	PF14389
AT5G09620.1	PF00564
AT5G58970.1	PF00153
AT5G58970.1	PF00153
AT5G58970.1	PF00153
AT1G70920.1	PF02183
AT1G70920.1	PF00046
AT5G02530.1	PF00076
AT1G03230.1	PF14543
AT1G03230.1	PF14541
AT1G55580.1	PF03514
AT5G01230.1	PF01728
AT5G50050.1	PF04043
AT2G04230.1	PF07723
AT2G04230.1	PF08387
AT2G04230.1	PF00646
AT4G31115.1	PF09366
AT5G64920.1	PF13639
AT5G64920.1	PF14369
AT2G46530.3	PF06507
AT2G46530.3	PF02362
AT2G46530.3	PF02309
AT1G53200.1	PF14929
AT5G10690.1	PF13041
AT5G10690.1	PF13041
AT5G10690.1	PF01535
AT5G62480.2	PF13417
AT2G13900.1	PF03107
AT2G13900.1	PF03107
AT2G13900.1	PF03107
AT2G13900.1	PF03107
AT2G13900.1	PF03107
AT2G18240.2	PF03248
AT5G36230.1	PF02020
AT3G44930.1	PF00999
AT4G39370.3	PF00443
AT1G56570.1	PF13041
AT1G56570.1	PF01535
AT1G56570.1	PF01535
AT1G56570.1	PF01535
AT1G56570.1	PF01535
AT1G56570.1	PF01535
AT1G56570.1	PF12854
AT4G39040.2	PF01985
AT2G04190.1	PF00917
AT2G04190.1	PF00917
AT1G70060.1	PF02671
AT1G70060.1	PF02671
AT1G70060.1	PF02671
AT1G70060.1	PF16879
AT1G70060.1	PF08295
AT5G19090.3	PF00403
AT5G19090.2	PF00403
AT1G33610.1	PF08263
AT1G33610.1	PF13855
AT1G57600.1	PF03062
AT5G40090.1	PF00931
AT5G40090.1	PF01582
AT5G33320.1	PF03151
AT5G27120.1	PF01798
AT5G27120.1	PF08156
AT3G11280.1	PF00249
AT3G11280.2	PF00249
AT3G22900.1	PF03876
AT2G33600.1	PF01370
AT1G50060.1	PF00188
AT3G24850.1	PF03754
AT5G58850.1	PF13921
AT2G16710.1	PF01521
AT4G02810.1	PF11250
AT1G04300.1	PF00917
AT4G11440.1	PF00153
AT4G11440.1	PF00153
AT4G11440.1	PF00153
AT3G13235.3	PF00240
AT3G13235.3	PF09668
AT3G13235.3	PF00627
AT3G09820.1	PF00294
AT3G17880.2	PF18253
AT3G17880.2	PF00085
AT1G72416.1	PF00226
AT1G76170.1	PF01171
AT1G76170.1	PF16503
AT4G25090.2	PF08022
AT4G25090.2	PF08030
AT4G25090.2	PF08414
AT4G25090.2	PF01794
AT1G05800.1	PF01764
AT3G42670.1	PF00176
AT3G42670.1	PF00271
AT5G10540.1	PF01432
AT4G25640.1	PF01554
AT4G25640.1	PF01554
AT2G35930.1	PF04564
AT2G35930.1	PF04078
AT5G46100.1	PF01535
AT5G46100.1	PF01535
AT5G46100.1	PF12854
AT5G46100.1	PF12854
AT5G46100.1	PF13041
AT5G46100.1	PF13041
AT5G64960.1	PF00069
AT3G53050.1	PF02140
AT3G47730.1	PF12698
AT3G47730.1	PF00005
AT5G25860.1	PF12937
AT4G24150.1	PF08880
AT4G24150.1	PF08879
AT2G35920.1	PF00270
AT2G35920.1	PF07717
AT2G35920.1	PF04408
AT2G35920.1	PF00271
AT3G29160.3	PF00069
AT3G29160.3	PF00627
AT5G23830.2	PF02221
AT1G26530.1	PF04900
AT4G11530.1	PF07714
AT4G11530.1	PF01657
AT4G11530.1	PF01657
AT5G66650.1	PF04678
AT1G29410.2	PF00697
AT5G07720.1	PF05637
AT5G19000.2	PF00651
AT3G59020.1	PF08506
AT3G59020.1	PF03810
AT1G07290.1	PF03151
AT2G30620.1	PF00538
AT4G24270.1	PF00076
AT4G24270.1	PF05391
AT2G23360.1	PF05911
AT2G23360.1	PF05911
AT2G04170.5	PF00917
AT1G49700.2	PF09713
AT5G05940.1	PF03759
