Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
S-adenosylmethionine synthetase, C-terminal (IPR022630)	4.3	7e-02	5	5	NIOBTv3_g15768.t1, NIOBTv3_g20707.t1, NIOBTv3_g24421.t1, NIOBTv3_g39132.t1, NIOBTv3_g44246.t1
UBL3-like, ubiquitin domain (IPR039540)	4.3	7e-02	5	5	NIOBTv3_g02332.t1, NIOBTv3_g19250.t1, NIOBTv3_g32030.t1, NIOBTv3_g32313.t1, NIOBTv3_g40643.t1
Cysteine-rich  secretory protein-related (IPR001283)	3.9	2e-02	8	9	NIOBTv3_g01386.t1, NIOBTv3_g01387.t1, NIOBTv3_g16762.t1, NIOBTv3_g25940.t1, NIOBTv3_g38413.t1, NIOBTv3_g42492.t1, NIOBTv3_g51589.t1, NIOBTv3_g60952.t1
Alpha carbonic anhydrase domain (IPR001148)	3.7	8e-02	6	7	NIOBTv3_g02271.t1, NIOBTv3_g05596.t1, NIOBTv3_g12290.t1, NIOBTv3_g23447.t1, NIOBTv3_g24151.t1, NIOBTv3_g31644.t1
Pectate lyase, N-terminal (IPR007524)	3.7	8e-02	6	7	NIOBTv3_g04224.t1, NIOBTv3_g25976.t1, NIOBTv3_g32326.t1, NIOBTv3_g32410.t1, NIOBTv3_g35755.t1, NIOBTv3_g40134.t1
CAP domain (IPR014044)	3.5	4e-02	8	10	NIOBTv3_g01386.t1, NIOBTv3_g01387.t1, NIOBTv3_g16762.t1, NIOBTv3_g25940.t1, NIOBTv3_g38413.t1, NIOBTv3_g42492.t1, NIOBTv3_g51589.t1, NIOBTv3_g60952.t1
Transmembrane protein GPR107/GPR108-like (IPR009637)	3.4	8e-02	7	9	NIOBTv3_g07803.t1, NIOBTv3_g23375.t1, NIOBTv3_g24958.t1, NIOBTv3_g27693.t1, NIOBTv3_g29706.t1, NIOBTv3_g32401.t1, NIOBTv3_g38359.t1
Plastid lipid-associated protein/fibrillin conserved domain (IPR006843)	3.2	7e-02	8	11	NIOBTv3_g02418.t1, NIOBTv3_g02852.t1, NIOBTv3_g08732.t1, NIOBTv3_g09784.t1, NIOBTv3_g28593.t1, NIOBTv3_g32431.t1, NIOBTv3_g33113.t1, NIOBTv3_g42345.t1
Pectate lyase (IPR002022)	3	3e-03	17	25	NIOBTv3_g03522.t1, NIOBTv3_g07909.t1, NIOBTv3_g08453.t1, NIOBTv3_g12542.t1, NIOBTv3_g16129.t1, NIOBTv3_g16446.t1, NIOBTv3_g16801.t1, NIOBTv3_g18000.t1, NIOBTv3_g25976.t1, NIOBTv3_g25977.t1, NIOBTv3_g26358.t1, NIOBTv3_g32326.t1, NIOBTv3_g32410.t1, NIOBTv3_g35755.t1, NIOBTv3_g37875.t1, NIOBTv3_g40134.t1, NIOBTv3_g66051.t1
AmbAllergen (IPR018082)	3	3e-03	17	25	NIOBTv3_g03522.t1, NIOBTv3_g07909.t1, NIOBTv3_g08453.t1, NIOBTv3_g12542.t1, NIOBTv3_g16129.t1, NIOBTv3_g16446.t1, NIOBTv3_g16801.t1, NIOBTv3_g18000.t1, NIOBTv3_g25976.t1, NIOBTv3_g25977.t1, NIOBTv3_g26358.t1, NIOBTv3_g32326.t1, NIOBTv3_g32410.t1, NIOBTv3_g35755.t1, NIOBTv3_g37875.t1, NIOBTv3_g40134.t1, NIOBTv3_g66051.t1
DOMON domain (IPR005018)	2.8	4e-02	11	17	NIOBTv3_g00230.t1, NIOBTv3_g02105.t1, NIOBTv3_g04186.t1, NIOBTv3_g05966.t1, NIOBTv3_g13219.t1, NIOBTv3_g25063.t1, NIOBTv3_g26504.t1, NIOBTv3_g27425.t1, NIOBTv3_g30430.t1, NIOBTv3_g31335.t1, NIOBTv3_g37795.t1
Purple acid phosphatase, N-terminal (IPR015914)	2.7	8e-02	10	16	NIOBTv3_g02196.t1, NIOBTv3_g07621.t1, NIOBTv3_g09672.t1, NIOBTv3_g10651.t1, NIOBTv3_g14682.t1, NIOBTv3_g17344.t1, NIOBTv3_g25263.t1, NIOBTv3_g40248.t1, NIOBTv3_g61116.t1, NIOBTv3_g61544.t1
Phloem protein 2-like (IPR025886)	2.6	3e-02	14	23	NIOBTv3_g02861.t1, NIOBTv3_g04044.t1, NIOBTv3_g06537.t1, NIOBTv3_g09287.t1, NIOBTv3_g09596.t1, NIOBTv3_g09753.t1, NIOBTv3_g10224.t1, NIOBTv3_g22912.t1, NIOBTv3_g26461.t1, NIOBTv3_g29738.t1, NIOBTv3_g30106.t1, NIOBTv3_g34028.t1, NIOBTv3_g40198.t1, NIOBTv3_g62250.t1
FAE1/Type III polyketide synthase-like protein (IPR013601)	2.6	6e-02	12	20	NIOBTv3_g05332.t1, NIOBTv3_g06835.t1, NIOBTv3_g08035.t1, NIOBTv3_g15562.t1, NIOBTv3_g16400.t1, NIOBTv3_g23496.t1, NIOBTv3_g28239.t1, NIOBTv3_g31635.t1, NIOBTv3_g31667.t1, NIOBTv3_g32752.t1, NIOBTv3_g32913.t1, NIOBTv3_g39246.t1
Laccase (IPR017761)	2.6	4e-02	13	22	NIOBTv3_g01902.t1, NIOBTv3_g13107.t1, NIOBTv3_g15209.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g19445.t1, NIOBTv3_g20277.t1, NIOBTv3_g24882.t1, NIOBTv3_g27562.t1, NIOBTv3_g28011.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
FAS1 domain (IPR000782)	2.4	5e-02	14	25	NIOBTv3_g07465.t1, NIOBTv3_g07466.t1, NIOBTv3_g11805.t1, NIOBTv3_g13417.t1, NIOBTv3_g14838.t1, NIOBTv3_g19897.t1, NIOBTv3_g22028.t1, NIOBTv3_g25485.t1, NIOBTv3_g26529.t1, NIOBTv3_g28632.t1, NIOBTv3_g29446.t1, NIOBTv3_g30158.t1, NIOBTv3_g38300.t1, NIOBTv3_g40191.t1
NAF domain (IPR004041)	2.2	6e-02	16	31	NIOBTv3_g00460.t1, NIOBTv3_g00467.t1, NIOBTv3_g01384.t1, NIOBTv3_g03193.t1, NIOBTv3_g11405.t1, NIOBTv3_g17418.t1, NIOBTv3_g18561.t1, NIOBTv3_g20144.t1, NIOBTv3_g20699.t1, NIOBTv3_g28511.t1, NIOBTv3_g31219.t1, NIOBTv3_g31811.t1, NIOBTv3_g34663.t1, NIOBTv3_g40689.t1, NIOBTv3_g41688.t1, NIOBTv3_g60562.t1
NAF/FISL domain (IPR018451)	2.2	6e-02	16	31	NIOBTv3_g00460.t1, NIOBTv3_g00467.t1, NIOBTv3_g01384.t1, NIOBTv3_g03193.t1, NIOBTv3_g11405.t1, NIOBTv3_g17418.t1, NIOBTv3_g18561.t1, NIOBTv3_g20144.t1, NIOBTv3_g20699.t1, NIOBTv3_g28511.t1, NIOBTv3_g31219.t1, NIOBTv3_g31811.t1, NIOBTv3_g34663.t1, NIOBTv3_g40689.t1, NIOBTv3_g41688.t1, NIOBTv3_g60562.t1
NAD(P)-binding domain (IPR016040)	2.2	3e-02	19	37	NIOBTv3_g00697.t1, NIOBTv3_g01011.t1, NIOBTv3_g02988.t1, NIOBTv3_g04475.t1, NIOBTv3_g06151.t1, NIOBTv3_g12456.t1, NIOBTv3_g14481.t1, NIOBTv3_g16322.t1, NIOBTv3_g19938.t1, NIOBTv3_g21996.t1, NIOBTv3_g22410.t1, NIOBTv3_g24159.t1, NIOBTv3_g28773.t1, NIOBTv3_g31137.t1, NIOBTv3_g32590.t1, NIOBTv3_g37946.t1, NIOBTv3_g39751.t1, NIOBTv3_g60298.t1, NIOBTv3_g60379.t1
Putative S-adenosyl-L-methionine-dependent methyltransferase (IPR004159)	2.2	3e-02	20	39	NIOBTv3_g00414.t1, NIOBTv3_g01806.t1, NIOBTv3_g03139.t1, NIOBTv3_g04267.t1, NIOBTv3_g04329.t1, NIOBTv3_g05383.t1, NIOBTv3_g08307.t1, NIOBTv3_g10657.t1, NIOBTv3_g12036.t1, NIOBTv3_g16076.t1, NIOBTv3_g17666.t1, NIOBTv3_g18254.t1, NIOBTv3_g19572.t1, NIOBTv3_g20307.t1, NIOBTv3_g21699.t1, NIOBTv3_g22953.t1, NIOBTv3_g28923.t1, NIOBTv3_g29878.t1, NIOBTv3_g35730.t1, NIOBTv3_g37254.t1
Multicopper oxidase, type 3 (IPR011707)	2.2	3e-02	22	44	NIOBTv3_g01902.t1, NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g07741.t1, NIOBTv3_g10416.t1, NIOBTv3_g15209.t1, NIOBTv3_g16607.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g18900.t1, NIOBTv3_g19445.t1, NIOBTv3_g20277.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g25990.t1, NIOBTv3_g27562.t1, NIOBTv3_g28011.t1, NIOBTv3_g35364.t1, NIOBTv3_g40504.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
Multicopper oxidase, type 1 (IPR001117)	2.1	3e-02	23	47	NIOBTv3_g01902.t1, NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g07741.t1, NIOBTv3_g10416.t1, NIOBTv3_g13107.t1, NIOBTv3_g15209.t1, NIOBTv3_g16607.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g18900.t1, NIOBTv3_g19445.t1, NIOBTv3_g20277.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g25990.t1, NIOBTv3_g27562.t1, NIOBTv3_g28011.t1, NIOBTv3_g35364.t1, NIOBTv3_g40504.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
Multicopper oxidase, type 2 (IPR011706)	2.1	3e-02	23	47	NIOBTv3_g01902.t1, NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g07741.t1, NIOBTv3_g10416.t1, NIOBTv3_g13107.t1, NIOBTv3_g15209.t1, NIOBTv3_g16607.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g18900.t1, NIOBTv3_g19445.t1, NIOBTv3_g20277.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g25990.t1, NIOBTv3_g27562.t1, NIOBTv3_g28011.t1, NIOBTv3_g35364.t1, NIOBTv3_g40504.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
Glycoside hydrolase, family 28 (IPR000743)	2.1	4e-02	22	46	NIOBTv3_g00327.t1, NIOBTv3_g00564.t1, NIOBTv3_g03620.t1, NIOBTv3_g07434.t1, NIOBTv3_g09952.t1, NIOBTv3_g10089.t1, NIOBTv3_g10908.t1, NIOBTv3_g11852.t1, NIOBTv3_g12008.t1, NIOBTv3_g14444.t1, NIOBTv3_g17242.t1, NIOBTv3_g20849.t1, NIOBTv3_g21681.t1, NIOBTv3_g22276.t1, NIOBTv3_g25931.t1, NIOBTv3_g26193.t1, NIOBTv3_g28738.t1, NIOBTv3_g28810.t1, NIOBTv3_g28811.t1, NIOBTv3_g32265.t1, NIOBTv3_g38390.t1, NIOBTv3_g59274.t1
Glycosyl transferase, family 8 (IPR002495)	2.1	4e-02	22	46	NIOBTv3_g03472.t1, NIOBTv3_g05630.t1, NIOBTv3_g05900.t1, NIOBTv3_g07106.t1, NIOBTv3_g07183.t1, NIOBTv3_g09123.t1, NIOBTv3_g10568.t1, NIOBTv3_g12777.t1, NIOBTv3_g13145.t1, NIOBTv3_g13965.t1, NIOBTv3_g15469.t1, NIOBTv3_g15721.t1, NIOBTv3_g19668.t1, NIOBTv3_g19683.t1, NIOBTv3_g21556.t1, NIOBTv3_g22988.t1, NIOBTv3_g23149.t1, NIOBTv3_g26105.t1, NIOBTv3_g27822.t1, NIOBTv3_g37983.t1, NIOBTv3_g39115.t1, NIOBTv3_g58608.t1
Major intrinsic protein (IPR000425)	2	4e-02	23	49	NIOBTv3_g00781.t1, NIOBTv3_g01362.t1, NIOBTv3_g07059.t1, NIOBTv3_g07974.t1, NIOBTv3_g15174.t1, NIOBTv3_g16095.t1, NIOBTv3_g17540.t1, NIOBTv3_g19381.t1, NIOBTv3_g20096.t1, NIOBTv3_g20097.t1, NIOBTv3_g23807.t1, NIOBTv3_g26512.t1, NIOBTv3_g27126.t1, NIOBTv3_g27353.t1, NIOBTv3_g27433.t1, NIOBTv3_g28516.t1, NIOBTv3_g30320.t1, NIOBTv3_g31640.t1, NIOBTv3_g32885.t1, NIOBTv3_g34395.t1, NIOBTv3_g39701.t1, NIOBTv3_g42011.t1, NIOBTv3_g64458.t1
Alpha/beta hydrolase fold-1 (IPR000073)	2	3e-03	38	82	NIOBTv3_g00991.t1, NIOBTv3_g04509.t1, NIOBTv3_g04578.t1, NIOBTv3_g04579.t1, NIOBTv3_g04580.t1, NIOBTv3_g05565.t1, NIOBTv3_g06123.t1, NIOBTv3_g07039.t1, NIOBTv3_g08776.t1, NIOBTv3_g09887.t1, NIOBTv3_g10264.t1, NIOBTv3_g10683.t1, NIOBTv3_g12405.t1, NIOBTv3_g12626.t1, NIOBTv3_g13461.t1, NIOBTv3_g15336.t1, NIOBTv3_g17295.t1, NIOBTv3_g18198.t1, NIOBTv3_g21279.t1, NIOBTv3_g22105.t1, NIOBTv3_g23703.t1, NIOBTv3_g24188.t1, NIOBTv3_g24836.t1, NIOBTv3_g27001.t1, NIOBTv3_g29023.t1, NIOBTv3_g29745.t1, NIOBTv3_g30698.t1, NIOBTv3_g30882.t1, NIOBTv3_g31787.t1, NIOBTv3_g31874.t1, NIOBTv3_g33099.t1, NIOBTv3_g33229.t1, NIOBTv3_g33943.t1, NIOBTv3_g34658.t1, NIOBTv3_g40609.t1, NIOBTv3_g42406.t1, NIOBTv3_g61191.t1, NIOBTv3_g63778.t1
Pectinesterase inhibitor domain (IPR006501)	2	6e-04	50	109	NIOBTv3_g00993.t1, NIOBTv3_g03797.t1, NIOBTv3_g03798.t1, NIOBTv3_g03834.t1, NIOBTv3_g04025.t1, NIOBTv3_g04359.t1, NIOBTv3_g04936.t1, NIOBTv3_g05390.t1, NIOBTv3_g06274.t1, NIOBTv3_g07270.t1, NIOBTv3_g07271.t1, NIOBTv3_g11054.t1, NIOBTv3_g12311.t1, NIOBTv3_g13274.t1, NIOBTv3_g13766.t1, NIOBTv3_g19080.t1, NIOBTv3_g22352.t1, NIOBTv3_g22353.t1, NIOBTv3_g22418.t1, NIOBTv3_g22741.t1, NIOBTv3_g25163.t1, NIOBTv3_g25207.t1, NIOBTv3_g25208.t1, NIOBTv3_g27258.t1, NIOBTv3_g29024.t1, NIOBTv3_g30246.t1, NIOBTv3_g30247.t1, NIOBTv3_g30295.t1, NIOBTv3_g30969.t1, NIOBTv3_g30970.t1, NIOBTv3_g31764.t1, NIOBTv3_g32529.t1, NIOBTv3_g33399.t1, NIOBTv3_g37547.t1, NIOBTv3_g37798.t1, NIOBTv3_g38333.t1, NIOBTv3_g38575.t1, NIOBTv3_g38954.t1, NIOBTv3_g39166.t1, NIOBTv3_g39707.t1, NIOBTv3_g40378.t1, NIOBTv3_g40779.t1, NIOBTv3_g40928.t1, NIOBTv3_g41442.t1, NIOBTv3_g41558.t1, NIOBTv3_g54717.t1, NIOBTv3_g55405.t1, NIOBTv3_g60065.t1, NIOBTv3_g62193.t1, NIOBTv3_g63845.t1
Pectinesterase, catalytic (IPR000070)	2	2e-02	29	64	NIOBTv3_g00993.t1, NIOBTv3_g03834.t1, NIOBTv3_g04359.t1, NIOBTv3_g06274.t1, NIOBTv3_g07270.t1, NIOBTv3_g07271.t1, NIOBTv3_g11054.t1, NIOBTv3_g12311.t1, NIOBTv3_g13766.t1, NIOBTv3_g14825.t1, NIOBTv3_g15238.t1, NIOBTv3_g20577.t1, NIOBTv3_g25207.t1, NIOBTv3_g25208.t1, NIOBTv3_g27669.t1, NIOBTv3_g29024.t1, NIOBTv3_g29430.t1, NIOBTv3_g29596.t1, NIOBTv3_g30246.t1, NIOBTv3_g30247.t1, NIOBTv3_g30377.t1, NIOBTv3_g32529.t1, NIOBTv3_g33399.t1, NIOBTv3_g38333.t1, NIOBTv3_g38954.t1, NIOBTv3_g40779.t1, NIOBTv3_g40928.t1, NIOBTv3_g41442.t1, NIOBTv3_g41558.t1
Sugar/inositol transporter (IPR003663)	1.9	8e-02	21	47	NIOBTv3_g01630.t1, NIOBTv3_g03462.t1, NIOBTv3_g03901.t1, NIOBTv3_g04081.t1, NIOBTv3_g04598.t1, NIOBTv3_g07453.t1, NIOBTv3_g10698.t1, NIOBTv3_g12814.t1, NIOBTv3_g14560.t1, NIOBTv3_g16306.t1, NIOBTv3_g17008.t1, NIOBTv3_g17275.t1, NIOBTv3_g19427.t1, NIOBTv3_g20713.t1, NIOBTv3_g27043.t1, NIOBTv3_g27851.t1, NIOBTv3_g30207.t1, NIOBTv3_g31174.t1, NIOBTv3_g37261.t1, NIOBTv3_g55994.t1, NIOBTv3_g60614.t1
Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain (IPR016140)	1.8	3e-02	34	81	NIOBTv3_g01899.t1, NIOBTv3_g05156.t1, NIOBTv3_g05855.t1, NIOBTv3_g06255.t1, NIOBTv3_g06895.t1, NIOBTv3_g10285.t1, NIOBTv3_g10286.t1, NIOBTv3_g10900.t1, NIOBTv3_g12726.t1, NIOBTv3_g14410.t1, NIOBTv3_g17156.t1, NIOBTv3_g17357.t1, NIOBTv3_g17483.t1, NIOBTv3_g18042.t1, NIOBTv3_g21320.t1, NIOBTv3_g21485.t1, NIOBTv3_g24317.t1, NIOBTv3_g24318.t1, NIOBTv3_g27154.t1, NIOBTv3_g27163.t1, NIOBTv3_g28568.t1, NIOBTv3_g28990.t1, NIOBTv3_g29499.t1, NIOBTv3_g32445.t1, NIOBTv3_g34423.t1, NIOBTv3_g34683.t1, NIOBTv3_g35888.t1, NIOBTv3_g36329.t1, NIOBTv3_g36580.t1, NIOBTv3_g41537.t1, NIOBTv3_g54421.t1, NIOBTv3_g56172.t1, NIOBTv3_g62342.t1, NIOBTv3_g65334.t1
WRKY domain (IPR003657)	1.8	4e-02	31	74	NIOBTv3_g03319.t1, NIOBTv3_g05766.t1, NIOBTv3_g07389.t1, NIOBTv3_g07658.t1, NIOBTv3_g07862.t1, NIOBTv3_g08325.t1, NIOBTv3_g09474.t1, NIOBTv3_g11091.t1, NIOBTv3_g12253.t1, NIOBTv3_g12331.t1, NIOBTv3_g13518.t1, NIOBTv3_g13674.t1, NIOBTv3_g16189.t1, NIOBTv3_g16192.t1, NIOBTv3_g17232.t1, NIOBTv3_g17750.t1, NIOBTv3_g18104.t1, NIOBTv3_g18106.t1, NIOBTv3_g19088.t1, NIOBTv3_g19262.t1, NIOBTv3_g19554.t1, NIOBTv3_g23174.t1, NIOBTv3_g23482.t1, NIOBTv3_g26413.t1, NIOBTv3_g28241.t1, NIOBTv3_g31688.t1, NIOBTv3_g32819.t1, NIOBTv3_g37904.t1, NIOBTv3_g39378.t1, NIOBTv3_g39379.t1, NIOBTv3_g42721.t1
Major facilitator,  sugar transporter-like (IPR005828)	1.8	9e-02	26	63	NIOBTv3_g01630.t1, NIOBTv3_g03462.t1, NIOBTv3_g03901.t1, NIOBTv3_g04081.t1, NIOBTv3_g04598.t1, NIOBTv3_g06366.t1, NIOBTv3_g07453.t1, NIOBTv3_g08348.t1, NIOBTv3_g10698.t1, NIOBTv3_g12814.t1, NIOBTv3_g14560.t1, NIOBTv3_g16306.t1, NIOBTv3_g17008.t1, NIOBTv3_g17275.t1, NIOBTv3_g19427.t1, NIOBTv3_g20713.t1, NIOBTv3_g23015.t1, NIOBTv3_g25412.t1, NIOBTv3_g27043.t1, NIOBTv3_g27851.t1, NIOBTv3_g30207.t1, NIOBTv3_g31174.t1, NIOBTv3_g35657.t1, NIOBTv3_g37261.t1, NIOBTv3_g55994.t1, NIOBTv3_g60614.t1
PMR5 N-terminal domain (IPR025846)	1.8	9e-02	27	66	NIOBTv3_g02423.t1, NIOBTv3_g04728.t1, NIOBTv3_g06264.t1, NIOBTv3_g08914.t1, NIOBTv3_g10533.t1, NIOBTv3_g10816.t1, NIOBTv3_g11389.t1, NIOBTv3_g12045.t1, NIOBTv3_g15019.t1, NIOBTv3_g15340.t1, NIOBTv3_g15358.t1, NIOBTv3_g16870.t1, NIOBTv3_g17420.t1, NIOBTv3_g18388.t1, NIOBTv3_g18790.t1, NIOBTv3_g20888.t1, NIOBTv3_g21740.t1, NIOBTv3_g22160.t1, NIOBTv3_g23177.t1, NIOBTv3_g26671.t1, NIOBTv3_g33559.t1, NIOBTv3_g34124.t1, NIOBTv3_g36147.t1, NIOBTv3_g36261.t1, NIOBTv3_g36763.t1, NIOBTv3_g37919.t1, NIOBTv3_g56734.t1
Plant peroxidase (IPR000823)	1.8	3e-02	37	91	NIOBTv3_g01985.t1, NIOBTv3_g03359.t1, NIOBTv3_g04247.t1, NIOBTv3_g05076.t1, NIOBTv3_g05139.t1, NIOBTv3_g05222.t1, NIOBTv3_g05354.t1, NIOBTv3_g05756.t1, NIOBTv3_g08396.t1, NIOBTv3_g10411.t1, NIOBTv3_g11301.t1, NIOBTv3_g11799.t1, NIOBTv3_g13322.t1, NIOBTv3_g13452.t1, NIOBTv3_g15022.t1, NIOBTv3_g15227.t1, NIOBTv3_g21840.t1, NIOBTv3_g22612.t1, NIOBTv3_g22945.t1, NIOBTv3_g24341.t1, NIOBTv3_g25535.t1, NIOBTv3_g28611.t1, NIOBTv3_g28759.t1, NIOBTv3_g29168.t1, NIOBTv3_g29281.t1, NIOBTv3_g29855.t1, NIOBTv3_g30915.t1, NIOBTv3_g32514.t1, NIOBTv3_g32515.t1, NIOBTv3_g33613.t1, NIOBTv3_g34693.t1, NIOBTv3_g36572.t1, NIOBTv3_g38103.t1, NIOBTv3_g39204.t1, NIOBTv3_g42284.t1, NIOBTv3_g60657.t1, NIOBTv3_g62450.t1
GDSL lipase/esterase (IPR001087)	1.7	5e-02	35	88	NIOBTv3_g02946.t1, NIOBTv3_g04222.t1, NIOBTv3_g04280.t1, NIOBTv3_g04344.t1, NIOBTv3_g04973.t1, NIOBTv3_g05040.t1, NIOBTv3_g08541.t1, NIOBTv3_g08544.t1, NIOBTv3_g09211.t1, NIOBTv3_g09225.t1, NIOBTv3_g09455.t1, NIOBTv3_g10047.t1, NIOBTv3_g12579.t1, NIOBTv3_g16818.t1, NIOBTv3_g18054.t1, NIOBTv3_g18557.t1, NIOBTv3_g21501.t1, NIOBTv3_g22202.t1, NIOBTv3_g24911.t1, NIOBTv3_g25442.t1, NIOBTv3_g26406.t1, NIOBTv3_g28457.t1, NIOBTv3_g29478.t1, NIOBTv3_g30799.t1, NIOBTv3_g31266.t1, NIOBTv3_g31847.t1, NIOBTv3_g33274.t1, NIOBTv3_g33495.t1, NIOBTv3_g37965.t1, NIOBTv3_g38626.t1, NIOBTv3_g38627.t1, NIOBTv3_g39841.t1, NIOBTv3_g40662.t1, NIOBTv3_g44092.t1, NIOBTv3_g59895.t1
Haem peroxidase (IPR002016)	1.7	4e-02	39	99	NIOBTv3_g01985.t1, NIOBTv3_g03359.t1, NIOBTv3_g04247.t1, NIOBTv3_g05076.t1, NIOBTv3_g05124.t1, NIOBTv3_g05139.t1, NIOBTv3_g05222.t1, NIOBTv3_g05354.t1, NIOBTv3_g05756.t1, NIOBTv3_g08396.t1, NIOBTv3_g10411.t1, NIOBTv3_g11301.t1, NIOBTv3_g11799.t1, NIOBTv3_g13322.t1, NIOBTv3_g13452.t1, NIOBTv3_g15022.t1, NIOBTv3_g15227.t1, NIOBTv3_g21840.t1, NIOBTv3_g22612.t1, NIOBTv3_g22945.t1, NIOBTv3_g24341.t1, NIOBTv3_g25535.t1, NIOBTv3_g26025.t1, NIOBTv3_g28611.t1, NIOBTv3_g28759.t1, NIOBTv3_g29168.t1, NIOBTv3_g29281.t1, NIOBTv3_g29855.t1, NIOBTv3_g30915.t1, NIOBTv3_g32514.t1, NIOBTv3_g32515.t1, NIOBTv3_g33613.t1, NIOBTv3_g34693.t1, NIOBTv3_g36572.t1, NIOBTv3_g38103.t1, NIOBTv3_g39204.t1, NIOBTv3_g42284.t1, NIOBTv3_g60657.t1, NIOBTv3_g62450.t1
