IPR011545	DEAD/DEAH box helicase domain
IPR004883	Lateral organ boundaries, LOB
IPR022212	Domain of unknown function DUF3741
IPR025486	Domain of unknown function DUF4378
IPR032795	DUF3741-associated sequence motif
IPR001356	Homeobox domain
IPR001356	Homeobox domain
IPR001841	Zinc finger, RING-type

IPR023780	Chromo domain
IPR000953	Chromo/chromo shadow domain
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR002241	Glycoside hydrolase, family 27
IPR041233	Alpha galactosidase, C-terminal beta sandwich domain
IPR002241	Glycoside hydrolase, family 27
IPR001360	Glycoside hydrolase family 1
IPR001360	Glycoside hydrolase family 1
IPR001360	Glycoside hydrolase family 1
IPR001360	Glycoside hydrolase family 1
IPR001360	Glycoside hydrolase family 1
IPR001360	Glycoside hydrolase family 1
IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
IPR025558	Domain of unknown function DUF4283
IPR003245	Phytocyanin domain
IPR003245	Phytocyanin domain
IPR033121	Peptidase family A1 domain
IPR032861	Xylanase inhibitor, N-terminal
IPR032799	Xylanase inhibitor, C-terminal
IPR010666	Zinc finger, GRF-type
IPR007715	Ubiquinone biosynthesis protein Coq4
IPR007715	Ubiquinone biosynthesis protein Coq4
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
IPR031675	Serine-threonine protein phosphatase, N-terminal
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR007750	Protein of unknown function DUF674
IPR007305	Vesicle transport protein, Got1/SFT2-like
IPR017926	Glutamine amidotransferase
IPR011697	Peptidase C26
IPR000008	C2 domain
IPR000008	C2 domain
IPR000008	C2 domain
IPR039010	Synaptotagmin, SMP domain
IPR000008	C2 domain
IPR000008	C2 domain
IPR000008	C2 domain
IPR031468	Synaptotagmin-like mitochondrial-lipid-binding domain
IPR000008	C2 domain
IPR011611	Carbohydrate kinase PfkB
IPR006153	Cation/H+ exchanger
IPR002016	Haem peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase

IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR001950	SUI1 domain
IPR001950	SUI1 domain
IPR005874	Eukaryotic translation initiation factor SUI1
IPR002528	Multi antimicrobial extrusion protein
IPR002528	Multi antimicrobial extrusion protein
IPR002528	Multi antimicrobial extrusion protein
IPR001597	Aromatic amino acid beta-eliminating lyase/threonine aldolase
IPR002109	Glutaredoxin
IPR011905	Glutaredoxin-like, plant II
IPR002109	Glutaredoxin
IPR011527	ABC transporter type 1, transmembrane domain
IPR011527	ABC transporter type 1, transmembrane domain
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR011527	ABC transporter type 1, transmembrane domain
IPR011527	ABC transporter type 1, transmembrane domain
IPR007612	LURP-one-related
IPR000795	Transcription factor, GTP-binding domain
IPR000795	Transcription factor, GTP-binding domain
IPR000795	Transcription factor, GTP-binding domain
IPR000795	Transcription factor, GTP-binding domain
IPR000795	Transcription factor, GTP-binding domain
IPR000795	Transcription factor, GTP-binding domain
IPR005225	Small GTP-binding protein domain
IPR004541	Translation elongation factor EFTu/EF1A, bacterial/organelle
IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
IPR004161	Translation elongation factor EFTu-like, domain 2
IPR000795	Transcription factor, GTP-binding domain
IPR002156	Ribonuclease H domain
IPR002156	Ribonuclease H domain
IPR004864	Late embryogenesis abundant protein, LEA_2 subgroup
IPR025886	Phloem protein 2-like
IPR001810	F-box domain
IPR001487	Bromodomain
IPR027353	NET domain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR027353	NET domain
IPR019734	Tetratricopeptide repeat
IPR003265	HhH-GPD domain
IPR029119	MutY, C-terminal
IPR019160	Exocyst complex component Sec3, C-terminal
IPR019160	Exocyst complex component Sec3, C-terminal
IPR028258	Exocyst complex component Sec3, PIP2-binding N-terminal domain
IPR000719	Protein kinase domain
IPR001480	Bulb-type lectin domain
IPR001480	Bulb-type lectin domain
IPR003609	PAN/Apple domain
IPR000719	Protein kinase domain
IPR003609	PAN/Apple domain
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001661	Glycoside hydrolase, family 37
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR002129	Pyridoxal phosphate-dependent decarboxylase
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1



IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR025724	GAG-pre-integrase domain
IPR008422	Homeobox KN domain
IPR006563	POX domain
IPR011108	Zn-dependent metallo-hydrolase, RNA specificity domain
IPR022712	Beta-Casp domain
IPR023780	Chromo domain
IPR026891	Fibronectin type III-like domain
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR002772	Glycoside hydrolase family 3 C-terminal domain
IPR039467	Transcription factor TFIIIB component B'', Myb domain
IPR017884	SANT domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain
IPR035246	Spermidine synthase, tetramerisation domain

IPR030374	Polyamine biosynthesis  domain
IPR001911	Ribosomal protein S21
IPR004837	Sodium/calcium exchanger membrane region
IPR004837	Sodium/calcium exchanger membrane region
IPR000192	Aminotransferase class V domain
IPR006767	Cwf19-like protein, C-terminal domain-2
IPR006768	Cwf19-like, C-terminal domain-1
IPR000571	Zinc finger, CCCH-type
IPR000571	Zinc finger, CCCH-type
IPR004821	Cytidyltransferase-like domain
IPR004821	Cytidyltransferase-like domain
IPR004821	Cytidyltransferase-like domain
IPR004821	Cytidyltransferase-like domain
IPR001806	Small GTPase





IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR023333	Proteasome B-type subunit
IPR001353	Proteasome, subunit alpha/beta
IPR001374	R3H domain
IPR001374	R3H domain
IPR007502	Helicase-associated domain
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR001650	Helicase, C-terminal
IPR011709	Domain of unknown function DUF1605
IPR011545	DEAD/DEAH box helicase domain
IPR001650	Helicase, C-terminal
IPR020683	Ankyrin repeat-containing domain
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR003676	Small auxin-up RNA
IPR005142	eRF1 domain 3
IPR004403	Peptide chain release factor eRF1/aRF1
IPR005140	eRF1 domain 1/Pelota-like
IPR005141	eRF1 domain 2
IPR001594	Palmitoyltransferase, DHHC domain

IPR002495	Glycosyl transferase, family 8
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR004864	Late embryogenesis abundant protein, LEA_2 subgroup
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR000131	ATP synthase, F1 complex, gamma subunit
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR007524	Pectate lyase, N-terminal
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR002022	Pectate lyase
IPR004861	Atypical dual-specificity phosphatase Siw14-like
IPR020428	Atypical dual-specificity phosphatase Siw14-like, plant and fungi
IPR020428	Atypical dual-specificity phosphatase Siw14-like, plant and fungi
IPR020428	Atypical dual-specificity phosphatase Siw14-like, plant and fungi
IPR020428	Atypical dual-specificity phosphatase Siw14-like, plant and fungi
IPR008511	Protein BYPASS-related
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR020846	Major facilitator superfamily domain
IPR005828	Major facilitator,  sugar transporter-like
IPR008913	Zinc finger, CHY-type
IPR017921	Zinc finger, CTCHY-type
IPR039512	RCHY1, zinc-ribbon
IPR008913	Zinc finger, CHY-type
IPR001841	Zinc finger, RING-type
IPR012312	Haemerythrin-like
IPR012312	Haemerythrin-like
IPR012312	Haemerythrin-like

IPR006511	SHORT INTERNODES, C-terminal
IPR006510	Zinc finger, lateral root primordium type 1
IPR002156	Ribonuclease H domain
IPR002156	Ribonuclease H domain
IPR006740	Protein of unknown function DUF604
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR000109	Proton-dependent oligopeptide transporter family
IPR019129	Folate-sensitive fragile site protein Fra10Ac1
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR003609	PAN/Apple domain
IPR001480	Bulb-type lectin domain
IPR000719	Protein kinase domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR001480	Bulb-type lectin domain
IPR003609	PAN/Apple domain

IPR000858	S-locus glycoprotein domain
IPR001128	Cytochrome P450
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR002401	Cytochrome P450, E-class, group I
IPR001128	Cytochrome P450
IPR001128	Cytochrome P450
IPR001128	Cytochrome P450
IPR004827	Basic-leucine zipper domain
IPR004827	Basic-leucine zipper domain
IPR001630	cAMP response element binding (CREB) protein
IPR001630	cAMP response element binding (CREB) protein
IPR001630	cAMP response element binding (CREB) protein
IPR001630	cAMP response element binding (CREB) protein
IPR004146	DC1
IPR004146	DC1
IPR004146	DC1
IPR005175	PPC domain
IPR005175	PPC domain
IPR030395	Glycerophosphodiester phosphodiesterase domain
IPR030395	Glycerophosphodiester phosphodiesterase domain
IPR013103	Reverse transcriptase, RNA-dependent DNA polymerase
IPR000368	Sucrose synthase
IPR012819	Sucrose phosphate synthase, plant
IPR001296	Glycosyl transferase, family 1
IPR006380	Sucrose-phosphatase-like, N-terminal
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat


IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001087	GDSL lipase/esterase
IPR001805	Adenosine kinase
IPR001805	Adenosine kinase
IPR001805	Adenosine kinase
IPR001805	Adenosine kinase
IPR001805	Adenosine kinase
IPR011611	Carbohydrate kinase PfkB
IPR009688	Domain of unknown function DUF1279
IPR017930	Myb domain
IPR001005	SANT/Myb domain
IPR021786	Pre-mRNA splicing factor component Cdc5p/Cef1

IPR017930	Myb domain
IPR000357	HEAT repeat
IPR041653	Importin repeat 4
IPR024746	Glycosyl hydrolase family 100
IPR027794	tRNase Z endonuclease
IPR004114	THUMP domain
IPR010686	Oil body-associated protein-like
IPR040911	Exostosin, GT47 domain
IPR029154	3-hydroxyisobutyrate dehydrogenase, NAD-binding domain
IPR006115	6-phosphogluconate dehydrogenase, NADP-binding
IPR015410	Domain of unknown function DUF1985



IPR002938	FAD-binding domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR013103	Reverse transcriptase, RNA-dependent DNA polymerase
IPR001828	Receptor, ligand binding region
IPR001320	Ionotropic glutamate receptor
IPR001638	Solute-binding protein  family 3/N-terminal domain of MltF
IPR006027	NusB/RsmB/TIM44
IPR000719	Protein kinase domain
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR025875	Leucine rich repeat 4
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR019557	Aminotransferase-like, plant mobile domain
IPR010713	Xyloglucan endo-transglycosylase, C-terminal
IPR000757	Glycoside hydrolase family 16
IPR000757	Glycoside hydrolase family 16
IPR008264	Beta-glucanase
IPR008264	Beta-glucanase
IPR008264	Beta-glucanase
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR022775	AP complex, mu/sigma subunit
IPR013922	Cyclin PHO80-like
IPR022796	Chlorophyll A-B binding protein
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR

IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR005828	Major facilitator,  sugar transporter-like
IPR020846	Major facilitator superfamily domain
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR000210	BTB/POZ domain
IPR000210	BTB/POZ domain
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR022742	Serine aminopeptidase, S33
IPR002912	ACT domain
IPR002912	ACT domain
IPR002912	ACT domain
IPR002912	ACT domain
IPR005174	Domain unknown function DUF295
IPR004316	SWEET sugar transporter
IPR004316	SWEET sugar transporter
IPR002591	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase
IPR025265	WPP domain
IPR040911	Exostosin, GT47 domain
IPR041082	Suv3, C-terminal domain 1
IPR001650	Helicase, C-terminal
IPR022192	Mitochondrial degradasome RNA helicase subunit, C-terminal domain
IPR001650	Helicase, C-terminal
IPR012921	Spen paralogue and orthologue SPOC, C-terminal
IPR001650	Helicase, C-terminal
IPR000330	SNF2-related, N-terminal domain
IPR001650	Helicase, C-terminal
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR001905	Ammonium transporter
