Slyc Hit,Nobt Hit
Solyc04g007210.3,NIOBTv3_g08367
Solyc04g007990.1,NIOBTv3_g34167
Solyc04g014570.3,NIOBTv3_g12418
Solyc04g050170.3,NIOBTv3_g03182
Solyc04g050930.3,NIOBTv3_g34181
Solyc04g051470.1,NIOBTv3_g11417
Solyc04g055000.3,NIOBTv3_g10370
Solyc04g055050.1,NIOBTv3_g21218
Solyc04g057940.3,NIOBTv3_g18762
Solyc04g063230.3,NIOBTv3_g01806
Solyc04g070970.3,NIOBTv3_g29148
Solyc04g071165.1,NIOBTv3_g25588
Solyc04g071340.4,NIOBTv3_g10931
Solyc04g071650.3,NIOBTv3_g35404
Solyc04g072020.3,NIOBTv3_g00442
Solyc04g072850.3,NIOBTv3_g15162
Solyc04g073950.1,NIOBTv3_g04111
Solyc04g073990.3,NIOBTv3_g17207
Solyc04g074110.3,NIOBTv3_g04664
Solyc04g074290.3,NIOBTv3_g35730
Solyc04g074850.3,NIOBTv3_g35884
Solyc04g076780.3,NIOBTv3_g37825-D3
Solyc04g077020.3,NIOBTv3_g65010-D2
Solyc04g077510.3,NIOBTv3_g33834
Solyc04g078900.3,NIOBTv3_g23306
Solyc04g081250.1,NIOBTv3_g07735
Solyc04g081970.3,NIOBTv3_g05791
Solyc04g082200.2,NIOBTv3_g10422
Solyc04g082630.3,NIOBTv3_g64290
Solyc05g005080.3,NIOBTv3_g34226
Solyc05g005490.3,NIOBTv3_g06476
Solyc05g007780.3,NIOBTv3_g60301
Solyc05g008290.3,NIOBTv3_g03072
Solyc05g009550.3,NIOBTv3_g01351
Solyc05g010030.3,NIOBTv3_g36817
Solyc05g012500.3,NIOBTv3_g19088
Solyc05g012510.3,NIOBTv3_g63416
Solyc05g014000.3,NIOBTv3_g08453
Solyc05g014120.1,NIOBTv3_g06445
Solyc05g015480.3,NIOBTv3_g10901
Solyc05g025810.3,NIOBTv3_g35196
Solyc05g026550.3,NIOBTv3_g26275
Solyc05g050710.3,NIOBTv3_g11009
Solyc05g051660.1,NIOBTv3_g11346
Solyc05g053100.3,NIOBTv3_g28478
Solyc05g053810.3,NIOBTv3_g29825
Solyc05g054860.1,NIOBTv3_g12997
Solyc05g056030.3,NIOBTv3_g34662
Solyc06g005710.3,NIOBTv3_g19938
Solyc06g009190.3,NIOBTv3_g40928
Solyc06g035580.3,NIOBTv3_g11395
Solyc06g035720.3,NIOBTv3_g36328
Solyc06g053140.3,NIOBTv3_g07671
Solyc06g059740.3,NIOBTv3_g27490
Solyc06g060340.3,NIOBTv3_g26955
Solyc06g062460.3,NIOBTv3_g37001
Solyc06g062920.3,NIOBTv3_g32169
Solyc06g063050.3,NIOBTv3_g09727
Solyc06g063370.3,NIOBTv3_g25385
Solyc06g065920.3,NIOBTv3_g15265
Solyc06g068450.2,NIOBTv3_g34663
Solyc06g068900.3,NIOBTv3_g25715
Solyc06g071690.3,NIOBTv3_g11057
Solyc06g073190.3,NIOBTv3_g41581
Solyc06g074710.1,NIOBTv3_g17909
Solyc06g075550.3,NIOBTv3_g35949
Solyc06g075650.3,NIOBTv3_g39701
Solyc06g076040.3,NIOBTv3_g56617
Solyc06g076790.1,NIOBTv3_g24651
Solyc06g083650.3,NIOBTv3_g39841
Solyc06g084180.3,NIOBTv3_g23619
Solyc07g005210.3,NIOBTv3_g10076
Solyc07g006710.1,NIOBTv3_g01387
Solyc07g006855.1,NIOBTv3_g29865
Solyc07g006880.1,NIOBTv3_g30202
Solyc07g006910.3,NIOBTv3_g27141
Solyc07g007350.1,NIOBTv3_g10455
Solyc07g007930.3,NIOBTv3_g36463
Solyc07g008360.2,NIOBTv3_g20354
Solyc07g017600.3,NIOBTv3_g07270
Solyc07g022900.3,NIOBTv3_g27397
Solyc07g039310.1,NIOBTv3_g04076
Solyc07g041900.3,NIOBTv3_g11379
Solyc07g042440.3,NIOBTv3_g31531
Solyc07g043320.3,NIOBTv3_g27637
Solyc07g045460.3,NIOBTv3_g39478
Solyc07g049690.3,NIOBTv3_g36533
Solyc07g054290.1,NIOBTv3_g40350
Solyc07g055320.3,NIOBTv3_g41435
Solyc07g056320.3,NIOBTv3_g26054
Solyc07g062740.3,NIOBTv3_g30632
Solyc07g063350.3,NIOBTv3_g11258
Solyc07g063420.3,NIOBTv3_g08302
Solyc07g064670.3,NIOBTv3_g41250
Solyc07g064870.3,NIOBTv3_g05097
Solyc07g065900.3,NIOBTv3_g22759
Solyc07g066150.1,NIOBTv3_g10782
Solyc07g066230.3,NIOBTv3_g05411
Solyc07g066610.3,NIOBTv3_g18644
Solyc08g005650.3,NIOBTv3_g18751
Solyc08g006160.3,NIOBTv3_g32431
Solyc08g007970.3,NIOBTv3_g18912
Solyc08g008305.1,NIOBTv3_g34477
Solyc08g016620.3,NIOBTv3_g11287
Solyc08g028690.3,NIOBTv3_g07960-D2
Solyc08g041700.1,NIOBTv3_g13925
Solyc08g061100.3,NIOBTv3_g33993
Solyc08g061250.3,NIOBTv3_g33147
Solyc08g065220.3,NIOBTv3_g08119
Solyc08g065430.3,NIOBTv3_g00954
Solyc08g066610.3,NIOBTv3_g23788
Solyc08g066660.1,NIOBTv3_g03629
Solyc08g066800.3,NIOBTv3_g18543
Solyc08g067940.3,NIOBTv3_g03786
Solyc08g067960.3,NIOBTv3_g34039
Solyc08g068150.3,NIOBTv3_g03681
Solyc08g068330.3,NIOBTv3_g05754
Solyc08g075020.3,NIOBTv3_g17146
Solyc08g075760.3,NIOBTv3_g18833
Solyc08g075870.3,NIOBTv3_g20307
Solyc08g076220.3,NIOBTv3_g25100
Solyc08g076880.3,NIOBTv3_g19775
Solyc08g077510.3,NIOBTv3_g27715
Solyc08g077530.3,NIOBTv3_g09216-D3
Solyc08g077870.3,NIOBTv3_g02478
Solyc08g078300.3,NIOBTv3_g32663
Solyc08g079430.3,NIOBTv3_g03407
Solyc08g082190.3,NIOBTv3_g37333
Solyc08g082310.3,NIOBTv3_g41313
Solyc08g082920.3,NIOBTv3_g18797-D2
Solyc08g083060.3,NIOBTv3_g38827
Solyc09g005570.3,NIOBTv3_g35479
Solyc09g007030.3,NIOBTv3_g12894
Solyc09g007480.3,NIOBTv3_g29258
Solyc09g007790.1,NIOBTv3_g28270
Solyc09g007850.3,NIOBTv3_g03772
Solyc09g007860.3,NIOBTv3_g03771
Solyc09g008560.3,NIOBTv3_g03926
Solyc09g010380.3,NIOBTv3_g36460
Solyc09g011710.3,NIOBTv3_g01872
Solyc09g014350.3,NIOBTv3_g30297
Solyc09g014520.3,NIOBTv3_g23360
Solyc09g065180.3,NIOBTv3_g13381
Solyc09g065240.3,NIOBTv3_g06736
Solyc09g066410.2,NIOBTv3_g08348
Solyc09g072590.3,NIOBTv3_g08349
Solyc09g074210.3,NIOBTv3_g01632
Solyc09g075810.3,NIOBTv3_g04464
Solyc09g075890.3,NIOBTv3_g01500
Solyc09g090300.3,NIOBTv3_g11566
Solyc09g090960.3,NIOBTv3_g26451
Solyc09g091060.3,NIOBTv3_g33605
Solyc09g097870.3,NIOBTv3_g11555
Solyc09g098540.3,NIOBTv3_g32078-D2
Solyc10g012170.3,NIOBTv3_g04868
Solyc10g044880.1,NIOBTv3_g03883
Solyc10g049620.2,NIOBTv3_g37009
Solyc10g050110.1,NIOBTv3_g20808
Solyc10g050890.2,NIOBTv3_g23020
Solyc10g054870.2,NIOBTv3_g29278-D2
Solyc10g075070.2,NIOBTv3_g62342-D3
Solyc10g076360.1,NIOBTv3_g38927
Solyc10g077120.2,NIOBTv3_g36701
Solyc10g080500.2,NIOBTv3_g33830
Solyc10g080670.2,NIOBTv3_g08578
Solyc10g080840.1,NIOBTv3_g08073
Solyc10g081730.2,NIOBTv3_g08424
Solyc10g083700.3,NIOBTv3_g23771
Solyc10g084120.2,NIOBTv3_g01362
Solyc10g085500.2,NIOBTv3_g13831
Solyc10g085870.1,NIOBTv3_g28309
Solyc10g086580.2,NIOBTv3_g06559
Solyc11g006060.1,NIOBTv3_g27143
Solyc11g006250.2,NIOBTv3_g33274
Solyc11g008140.2,NIOBTv3_g16446
Solyc11g008620.2,NIOBTv3_g31354
Solyc11g008680.2,NIOBTv3_g40174
Solyc11g008820.2,NIOBTv3_g27116
Solyc11g010370.1,NIOBTv3_g05713
Solyc11g021365.1,NIOBTv3_g02881
Solyc11g042630.2,NIOBTv3_g31216
Solyc11g051160.2,NIOBTv3_g08249
Solyc11g065350.2,NIOBTv3_g13149
Solyc11g065940.2,NIOBTv3_g08047
Solyc11g066270.2,NIOBTv3_g22229
Solyc11g068440.2,NIOBTv3_g05856
Solyc12g005750.1,NIOBTv3_g62883
Solyc12g007060.1,NIOBTv3_g22363
Solyc12g008650.2,NIOBTv3_g33903
Solyc12g009800.2,NIOBTv3_g61116
Solyc12g010110.2,NIOBTv3_g37704
Solyc12g014260.1,NIOBTv3_g35584
Solyc12g014570.2,NIOBTv3_g02097
Solyc12g015630.2,NIOBTv3_g09193
Solyc12g042010.1,NIOBTv3_g16220
Solyc12g042380.2,NIOBTv3_g18391
Solyc12g042460.2,NIOBTv3_g15235
Solyc12g042830.2,NIOBTv3_g17785
Solyc12g044260.2,NIOBTv3_g60059
Solyc12g056200.2,NIOBTv3_g20015
Solyc12g056830.1,NIOBTv3_g29836
Solyc12g056860.2,NIOBTv3_g28673
Solyc12g057040.2,NIOBTv3_g33371
Solyc12g057100.2,NIOBTv3_g19732
Solyc12g088910.2,NIOBTv3_g17782
Solyc12g089160.2,NIOBTv3_g35870
Solyc12g089220.2,NIOBTv3_g05641
Solyc12g094640.2,NIOBTv3_g00365-D2
Solyc12g097060.1,NIOBTv3_g06474
Solyc12g098340.2,NIOBTv3_g14825
Solyc12g098490.2,NIOBTv3_g04474
Solyc12g098500.2,NIOBTv3_g40272
Solyc12g098810.2,NIOBTv3_g00811
Solyc12g099200.2,NIOBTv3_g19080
Solyc12g099440.2,NIOBTv3_g00987
Solyc12g099600.2,NIOBTv3_g27993
Solyc12g099930.2,NIOBTv3_g04021
Solyc12g100190.2,NIOBTv3_g55604
