Solyc01g111145.1.1	NIOBTv3_g31399
Solyc02g091800.3.1	NIOBTv3_g08452
Solyc01g068545.1.1	NIOBTv3_g41648
Solyc12g008840.2.1	NIOBTv3_g25102
Solyc06g068450.2.1	NIOBTv3_g34663
Solyc02g068400.3.1	NIOBTv3_g31908
Solyc03g123550.1.1	NIOBTv3_g06520
Solyc07g056540.3.1	NIOBTv3_g20229
Solyc09g005210.3.1	NIOBTv3_g30820
Solyc09g074430.3.1	NIOBTv3_g35014
Solyc05g006310.2.1	NIOBTv3_g36210
Solyc00g322635.1.1	NIOBTv3_g01128
Solyc08g008520.3.1	NIOBTv3_g32046
Solyc05g010030.3.1	NIOBTv3_g36817
Solyc07g006855.1.1	NIOBTv3_g29865
Solyc02g081830.3.1	NIOBTv3_g30852
Solyc07g056540.3.1	NIOBTv3_g20229
Solyc06g082440.1.1	NIOBTv3_g03193
Solyc09g082840.1.1	NIOBTv3_g39530
Solyc04g078740.2.1	NIOBTv3_g12183
Solyc07g065980.3.1	NIOBTv3_g35124
Solyc03g062710.3.1	NIOBTv3_g18426
Solyc02g078600.3.1	NIOBTv3_g03901
Solyc05g053610.2.1	NIOBTv3_g38659
Solyc09g013150.3.1	NIOBTv3_g03016
Solyc01g057220.3.1	NIOBTv3_g04359
Solyc10g047030.3.1	NIOBTv3_g10220
Solyc07g053630.3.1	NIOBTv3_g04028
Solyc05g009310.3.1	NIOBTv3_g32754
Solyc12g009210.2.1	NIOBTv3_g10089
Solyc01g106470.3.1	NIOBTv3_g29044
Solyc02g030230.3.1	NIOBTv3_g14481
Solyc10g006310.3.1	NIOBTv3_g00377
Solyc03g098720.3.1	NIOBTv3_g16134
Solyc01g005500.3.1	NIOBTv3_g23934
Solyc06g065670.3.1	NIOBTv3_g33262
Solyc01g010480.3.1	NIOBTv3_g00008
Solyc10g076360.1.1	NIOBTv3_g38927
Solyc02g086300.3.1	NIOBTv3_g26439
Solyc09g007030.3.1	NIOBTv3_g12894
Solyc01g094970.3.1	NIOBTv3_g11852
Solyc08g078900.1.1	NIOBTv3_g15467-D4
Solyc04g074790.2.1	NIOBTv3_g30512
Solyc09g090980.3.1	NIOBTv3_g18781-D2
Solyc02g067490.3.1	NIOBTv3_g35681
Solyc03g051790.3.1	NIOBTv3_g38347
Solyc10g079490.2.1	NIOBTv3_g13111
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc09g074230.3.1	NIOBTv3_g01630
Solyc01g009030.3.1	NIOBTv3_g35952
Solyc07g017600.3.1	NIOBTv3_g07270
Solyc08g077380.3.1	NIOBTv3_g06749
Solyc08g077380.3.1	NIOBTv3_g06749
Solyc08g077380.3.1	NIOBTv3_g06749
Solyc08g077380.3.1	NIOBTv3_g06749
Solyc05g050130.3.1	NIOBTv3_g02633
Solyc11g065840.2.1	NIOBTv3_g34640
Solyc06g069730.3.1	NIOBTv3_g33198-D2
Solyc10g081510.2.1	NIOBTv3_g56331-D2
Solyc05g010800.3.1	NIOBTv3_g32597
Solyc08g077510.3.1	NIOBTv3_g27715
Solyc06g082860.3.1	NIOBTv3_g00230
Solyc11g007540.2.1	NIOBTv3_g22564
Solyc08g074480.1.1	NIOBTv3_g15467
Solyc07g063600.3.1	NIOBTv3_g30733
Solyc09g098410.2.1	NIOBTv3_g02868
Solyc04g064870.3.1	NIOBTv3_g24408
Solyc07g018140.3.1	NIOBTv3_g10048
Solyc10g083880.2.1	NIOBTv3_g31640
Solyc01g099030.3.1	NIOBTv3_g28457
Solyc03g115380.2.1	NIOBTv3_g17817
Solyc10g009590.3.1	NIOBTv3_g23177
Solyc12g011280.2.1	NIOBTv3_g09113-D2
Solyc06g054260.1.1	NIOBTv3_g07455
Solyc03g117870.3.1	NIOBTv3_g40482
Solyc10g051390.2.1	NIOBTv3_g55770
Solyc02g080360.1.1	NIOBTv3_g07515
Solyc03g034030.3.1	NIOBTv3_g36174
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc01g097270.3.1	NIOBTv3_g01188
Solyc03g117600.3.1	NIOBTv3_g08599
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc10g006650.3.1	NIOBTv3_g16545
Solyc08g075020.3.1	NIOBTv3_g17146
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc09g011630.3.1	NIOBTv3_g39300
Solyc04g074110.3.1	NIOBTv3_g04664
Solyc05g006430.2.1	NIOBTv3_g24489
Solyc05g052860.3.1	NIOBTv3_g26397
Solyc03g119320.1.1	NIOBTv3_g02738
Solyc01g104950.3.1	NIOBTv3_g11510
Solyc05g053610.2.1	NIOBTv3_g38659
Solyc01g106620.2.1	NIOBTv3_g42492
Solyc06g068440.3.1	NIOBTv3_g34596
Solyc06g068770.3.1	NIOBTv3_g14114
Solyc07g056110.3.1	NIOBTv3_g19025
Solyc03g061620.1.1	NIOBTv3_g37829
Solyc07g051890.1.1	NIOBTv3_g13516
Solyc10g083210.2.1	NIOBTv3_g11520
Solyc10g081955.1.1	NIOBTv3_g16958
Solyc10g005010.3.1	NIOBTv3_g20604
Solyc06g059790.3.1	NIOBTv3_g28990
Solyc01g008050.3.1	NIOBTv3_g22160
Solyc10g086180.2.1	NIOBTv3_g26864
Solyc08g007500.3.1	NIOBTv3_g23043
Solyc03g118820.3.1	NIOBTv3_g23697
Solyc03g113420.3.1	NIOBTv3_g08508
Solyc06g059740.3.1	NIOBTv3_g27490
Solyc05g005080.3.1	NIOBTv3_g34226
Solyc01g100120.3.1	NIOBTv3_g18665
Solyc02g094050.3.1	NIOBTv3_g40395
Solyc03g094120.3.1	NIOBTv3_g29795
Solyc08g083090.2.1	NIOBTv3_g38224
Solyc02g083480.3.1	NIOBTv3_g32514
Solyc01g108860.3.1	NIOBTv3_g06126
Solyc09g008530.2.1	NIOBTv3_g03930
Solyc06g066640.3.1	NIOBTv3_g56724
Solyc04g055020.2.1	NIOBTv3_g03575
Solyc09g091200.3.1	NIOBTv3_g16461
Solyc06g008530.2.1	NIOBTv3_g23066
Solyc02g067410.2.1	NIOBTv3_g14998
Solyc07g005090.3.1	NIOBTv3_g21323
Solyc02g093160.3.1	NIOBTv3_g00100
Solyc03g083360.3.1	NIOBTv3_g03834
Solyc11g068710.2.1	NIOBTv3_g42744
Solyc07g048090.2.1	NIOBTv3_g14838
Solyc12g089250.1.1	NIOBTv3_g41047
Solyc05g008120.3.1	NIOBTv3_g13564
Solyc04g078660.1.1	NIOBTv3_g32088
Solyc01g106650.3.1	NIOBTv3_g35761
Solyc03g117350.1.1	NIOBTv3_g19042
Solyc12g014360.2.1	NIOBTv3_g10533
Solyc05g005180.3.1	NIOBTv3_g29274
Solyc08g006100.3.1	NIOBTv3_g32319
Solyc01g096170.3.1	NIOBTv3_g33360
Solyc05g054890.3.1	NIOBTv3_g07840
Solyc01g089850.3.1	NIOBTv3_g38294
Solyc01g059980.3.1	NIOBTv3_g28305
Solyc03g007860.1.1	NIOBTv3_g57685
Solyc09g018170.3.1	NIOBTv3_g34476
Solyc09g090550.3.1	NIOBTv3_g19624
Solyc06g074200.3.1	NIOBTv3_g03553
Solyc07g048050.2.1	NIOBTv3_g27425
Solyc02g084740.3.1	NIOBTv3_g23389
Solyc05g047530.3.1	NIOBTv3_g15045
Solyc03g071710.1.1	NIOBTv3_g15681
Solyc03g115450.1.1	NIOBTv3_g39693
Solyc06g050530.3.1	NIOBTv3_g60652
Solyc10g054800.2.1	NIOBTv3_g00781
Solyc06g017860.2.1	NIOBTv3_g34908
Solyc02g085950.3.1	NIOBTv3_g09526-D4
Solyc03g121090.3.1	NIOBTv3_g08723
Solyc02g088180.3.1	NIOBTv3_g22044
Solyc10g080380.1.1	NIOBTv3_g36768
Solyc09g089760.1.1	NIOBTv3_g09014-D2
Solyc01g009430.3.1	NIOBTv3_g10284
Solyc06g083170.3.1	NIOBTv3_g17432
Solyc07g054800.1.1	NIOBTv3_g05506
Solyc01g005450.3.1	NIOBTv3_g04485
Solyc02g061770.3.1	NIOBTv3_g22298
Solyc03g111730.3.1	NIOBTv3_g23675
Solyc01g081600.3.1	NIOBTv3_g35888
Solyc11g069970.1.1	NIOBTv3_g06089
Solyc09g098130.2.1	NIOBTv3_g40279-D2
Solyc05g055930.2.1	NIOBTv3_g12163
Solyc07g052770.2.1	NIOBTv3_g33078
Solyc02g077590.1.1	NIOBTv3_g23132
Solyc02g068660.2.1	NIOBTv3_g28628
Solyc03g120190.3.1	NIOBTv3_g08819
Solyc03g119080.4.1	NIOBTv3_g12224
Solyc08g079270.3.1	NIOBTv3_g05044
Solyc05g007940.3.1	NIOBTv3_g20359
Solyc03g058450.3.1	NIOBTv3_g01574
Solyc02g087800.3.1	NIOBTv3_g36878
Solyc01g111980.3.1	NIOBTv3_g21191
Solyc03g070440.3.1	NIOBTv3_g19523
Solyc03g117600.3.1	NIOBTv3_g08599
Solyc01g068120.3.1	NIOBTv3_g38954
Solyc04g055100.1.1	NIOBTv3_g14955
Solyc12g087940.2.1	NIOBTv3_g04857-D2
Solyc02g088100.3.1	NIOBTv3_g26925
Solyc08g075290.2.1	NIOBTv3_g04192
Solyc11g069730.1.1	NIOBTv3_g64925
Solyc04g076190.1.1	NIOBTv3_g04857
Solyc02g078620.1.1	NIOBTv3_g34579
Solyc10g047030.3.1	NIOBTv3_g10220
Solyc04g014820.3.1	NIOBTv3_g17766
Solyc02g084790.3.1	NIOBTv3_g29855
Solyc09g011500.3.1	NIOBTv3_g05979-D2
Solyc02g079240.1.1	NIOBTv3_g24891
Solyc12g006640.2.1	NIOBTv3_g14899
Solyc01g105410.3.1	NIOBTv3_g22477
Solyc10g045240.2.1	NIOBTv3_g20515
Solyc04g081550.3.1	NIOBTv3_g40335
Solyc07g014730.3.1	NIOBTv3_g29695
Solyc03g110890.1.1	NIOBTv3_g21292
Solyc12g089360.1.1	NIOBTv3_g60480-D2
Solyc08g082670.3.1	NIOBTv3_g03707
Solyc08g082670.3.1	NIOBTv3_g03707
Solyc08g082670.3.1	NIOBTv3_g03707
Solyc08g082670.3.1	NIOBTv3_g03707
Solyc03g026330.3.1	NIOBTv3_g27517
Solyc01g102390.3.1	NIOBTv3_g30959
Solyc09g010960.3.1	NIOBTv3_g17750
Solyc05g014120.1.1	NIOBTv3_g06445
Solyc04g011600.3.1	NIOBTv3_g16524
Solyc01g095745.1.1	NIOBTv3_g12497
Solyc08g067760.3.1	NIOBTv3_g29761
Solyc02g067350.3.1	NIOBTv3_g14986
Solyc08g077530.3.1	NIOBTv3_g09216-D3
Solyc01g105370.3.1	NIOBTv3_g22480
Solyc04g072020.3.1	NIOBTv3_g00442
Solyc03g098240.3.1	NIOBTv3_g11084
Solyc03g119150.3.1	NIOBTv3_g27857
Solyc05g012500.3.1	NIOBTv3_g19088
Solyc01g096050.3.1	NIOBTv3_g15672
Solyc02g065150.2.1	NIOBTv3_g30099
Solyc07g062380.1.1	NIOBTv3_g02815
Solyc10g078265.1.1	NIOBTv3_g02022
Solyc10g011820.3.1	NIOBTv3_g24023-D2
Solyc09g082530.2.1	NIOBTv3_g06413
Solyc11g008870.2.1	NIOBTv3_g03149
Solyc11g006980.1.1	NIOBTv3_g17289
Solyc07g015800.1.1	NIOBTv3_g02389
Solyc07g053420.3.1	NIOBTv3_g20234
Solyc03g031800.3.1	NIOBTv3_g04122
Solyc10g085130.2.1	NIOBTv3_g26078
Solyc09g075890.3.1	NIOBTv3_g01500
Solyc12g094550.2.1	NIOBTv3_g40210
Solyc07g008620.1.1	NIOBTv3_g32703
Solyc05g007950.3.1	NIOBTv3_g20361
Solyc01g005390.3.1	NIOBTv3_g36888
Solyc02g070090.1.1	NIOBTv3_g21422
Solyc08g016580.1.1	NIOBTv3_g11283
Solyc03g114730.3.1	NIOBTv3_g65173
Solyc07g016080.3.1	NIOBTv3_g02179
Solyc03g114310.3.1	NIOBTv3_g37163
Solyc05g056070.3.1	NIOBTv3_g12650
Solyc07g008360.2.1	NIOBTv3_g20354
Solyc03g114320.3.1	NIOBTv3_g13254
Solyc01g106460.3.1	NIOBTv3_g29043
Solyc02g082760.3.1	NIOBTv3_g25845
Solyc03g071710.1.1	NIOBTv3_g15681
Solyc08g067940.3.1	NIOBTv3_g03786
Solyc10g084960.2.1	NIOBTv3_g35712
Solyc03g095980.3.1	NIOBTv3_g36423
Solyc06g074320.3.1	NIOBTv3_g33268
Solyc12g015810.2.1	NIOBTv3_g22468
Solyc06g051680.1.1	NIOBTv3_g36033-D2
Solyc06g065790.1.1	NIOBTv3_g16914
Solyc03g051780.2.1	NIOBTv3_g38390
Solyc01g102700.3.1	NIOBTv3_g24255
Solyc01g107900.3.1	NIOBTv3_g12101
Solyc06g084820.2.1	NIOBTv3_g17181
Solyc02g091700.3.1	NIOBTv3_g37954
Solyc02g078150.3.1	NIOBTv3_g31627
Solyc08g067020.3.1	NIOBTv3_g30709
Solyc11g051060.2.1	NIOBTv3_g30799
Solyc12g068070.2.1	NIOBTv3_g27144
Solyc02g072393.1.1	NIOBTv3_g32116
Solyc11g066270.2.1	NIOBTv3_g22229
Solyc02g085745.1.1	NIOBTv3_g27171
Solyc09g097890.2.1	NIOBTv3_g37795
Solyc01g094890.3.1	NIOBTv3_g01376
Solyc05g005150.1.1	NIOBTv3_g35607
Solyc10g055200.1.1	NIOBTv3_g29011
Solyc10g083290.4.1	NIOBTv3_g29758
Solyc09g005570.3.1	NIOBTv3_g35479
Solyc01g105760.1.1	NIOBTv3_g09222-D2
Solyc07g042490.1.1	NIOBTv3_g27554
Solyc07g053630.3.1	NIOBTv3_g04028
Solyc09g057580.3.1	NIOBTv3_g25128
