Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
ACrr1	STAR/SlycIH/ACrr1.Aligned.sortedByCoord.out.bam	70776259.0	70776259.0	14267591289.0	4771533258.0	699.9455	216.0	248.7533	0.0	117.7096	100.0
ACrr2	STAR/SlycIH/ACrr2.Aligned.sortedByCoord.out.bam	45251527.0	45251527.0	9371472631.0	3126049578.0	740.9726	234.0	248.9764	0.0	77.316	100.0
ACrr3	STAR/SlycIH/ACrr3.Aligned.sortedByCoord.out.bam	60555291.0	60555291.0	12150079678.0	4072641156.0	695.4726	218.0	248.5812	0.0	100.2398	100.0
ERR2809794	STAR/TAIRRNA/ERR2809794.Aligned.sortedByCoord.out.bam	27859469.0	27859469.0	6670894113.0	1370401300.0	0.0	0.0	243.5173	0.0	55.7451	100.0
ERR2809795	STAR/TAIRRNA/ERR2809795.Aligned.sortedByCoord.out.bam	29314338.0	29314338.0	6370390901.0	1442452056.0	0.0	0.0	243.1612	0.0	53.234	100.0
ERR2809796	STAR/TAIRRNA/ERR2809796.Aligned.sortedByCoord.out.bam	28874425.0	28874425.0	7187516873.0	1420298729.0	0.0	0.0	243.1058	0.0	60.0623	100.0
ERR2809797	STAR/TAIRRNA/ERR2809797.Aligned.sortedByCoord.out.bam	44335172.0	44335172.0	3943270304.0	2191117532.0	0.0	0.0	244.4533	0.0	32.9518	100.0
ERR2809798	STAR/TAIRRNA/ERR2809798.Aligned.sortedByCoord.out.bam	25337744.0	25337744.0	3625885672.0	1249777069.0	0.0	0.0	245.427	0.0	30.2996	100.0
ERR2809799	STAR/TAIRRNA/ERR2809799.Aligned.sortedByCoord.out.bam	37559285.0	37559285.0	4041252327.0	1855067790.0	0.0	0.0	244.5761	0.0	33.7706	100.0
ERR2809800	STAR/TAIRRNA/ERR2809800.Aligned.sortedByCoord.out.bam	14791826.0	14791826.0	1773638443.0	728724935.0	0.0	0.0	245.6025	0.0	14.8214	100.0
ERR2809801	STAR/TAIRRNA/ERR2809801.Aligned.sortedByCoord.out.bam	13337011.0	13337011.0	1421381945.0	657532699.0	0.0	0.0	245.8646	0.0	11.8777	100.0
ERR2809802	STAR/TAIRRNA/ERR2809802.Aligned.sortedByCoord.out.bam	19670252.0	19670252.0	1764353061.0	970403045.0	0.0	0.0	245.579	0.0	14.7438	100.0
ERR2809803	STAR/TAIRRNA/ERR2809803.Aligned.sortedByCoord.out.bam	17428719.0	17428719.0	1399904805.0	860449872.0	0.0	0.0	245.8449	0.0	11.6983	100.0
ERR2809804	STAR/TAIRRNA/ERR2809804.Aligned.sortedByCoord.out.bam	17691534.0	17691534.0	1452534587.0	873647177.0	0.0	0.0	245.6265	0.0	12.1381	100.0
ERR2809805	STAR/TAIRRNA/ERR2809805.Aligned.sortedByCoord.out.bam	15566594.0	15566594.0	1179049243.0	767638856.0	0.0	0.0	246.0725	0.0	9.8527	100.0
ERR2809806	STAR/TAIRRNA/ERR2809806.Aligned.sortedByCoord.out.bam	39480335.0	39480335.0	4981698391.0	1948277026.0	0.0	0.0	243.1824	0.0	41.6294	100.0
ERR2809807	STAR/TAIRRNA/ERR2809807.Aligned.sortedByCoord.out.bam	28409283.0	28409283.0	4467688110.0	1400116943.0	0.0	0.0	243.7194	0.0	37.3341	100.0
ERR2809808	STAR/TAIRRNA/ERR2809808.Aligned.sortedByCoord.out.bam	32167567.0	32167567.0	5761081975.0	1584475854.0	0.0	0.0	243.2062	0.0	48.1423	100.0
ERR2809809	STAR/TAIRRNA/ERR2809809.Aligned.sortedByCoord.out.bam	14448332.0	14448332.0	1651772294.0	711716452.0	0.0	0.0	245.9244	0.0	13.803	100.0
ERR2809810	STAR/TAIRRNA/ERR2809810.Aligned.sortedByCoord.out.bam	13069538.0	13069538.0	1357157069.0	644831622.0	0.0	0.0	245.9744	0.0	11.341	100.0
ERR2809811	STAR/TAIRRNA/ERR2809811.Aligned.sortedByCoord.out.bam	14184050.0	14184050.0	1857719541.0	698421518.0	0.0	0.0	245.6252	0.0	15.524	100.0
ERR2809812	STAR/TAIRRNA/ERR2809812.Aligned.sortedByCoord.out.bam	12797651.0	12797651.0	1384205433.0	631147001.0	0.0	0.0	245.7374	0.0	11.5671	100.0
ERR2809813	STAR/TAIRRNA/ERR2809813.Aligned.sortedByCoord.out.bam	16071330.0	16071330.0	2170087662.0	791687361.0	0.0	0.0	245.5532	0.0	18.1343	100.0
ERR2809814	STAR/TAIRRNA/ERR2809814.Aligned.sortedByCoord.out.bam	14698619.0	14698619.0	1766307178.0	724565242.0	0.0	0.0	245.7828	0.0	14.7601	100.0
ERR2809815	STAR/TAIRRNA/ERR2809815.Aligned.sortedByCoord.out.bam	25683448.0	25683448.0	4020652135.0	1265443623.0	0.0	0.0	242.7541	0.0	33.5985	100.0
ERR2809816	STAR/TAIRRNA/ERR2809816.Aligned.sortedByCoord.out.bam	29566569.0	29566569.0	4972497483.0	1456839373.0	0.0	0.0	243.3792	0.0	41.5525	100.0
ERR2809817	STAR/TAIRRNA/ERR2809817.Aligned.sortedByCoord.out.bam	28470455.0	28470455.0	4662073055.0	1403293406.0	0.0	0.0	243.7121	0.0	38.9585	100.0
Nobt3DPA1	STAR/Nobt/Nobt3DPA1.Aligned.sortedByCoord.out.bam	300934846.0	300934846.0	12530147786.0	4816289197.0	571.575	217.0	245.8768	0.0	138.9636	100.0
Nobt3DPA2	STAR/Nobt/Nobt3DPA2.Aligned.sortedByCoord.out.bam	118288736.0	118288736.0	13935258715.0	5064273108.0	611.6781	218.0	245.9709	0.0	154.5467	100.0
Nobt3DPA3	STAR/Nobt/Nobt3DPA3.Aligned.sortedByCoord.out.bam	122336974.0	122336974.0	17439525624.0	6199377819.0	593.3224	217.0	245.4253	0.0	193.4102	100.0
Nobt6DPA1	STAR/Nobt/Nobt6DPA1.Aligned.sortedByCoord.out.bam	151078075.0	151078075.0	21230523372.0	7590817873.0	594.3862	222.0	245.7841	0.0	235.4537	100.0
Nobt6DPA2	STAR/Nobt/Nobt6DPA2.Aligned.sortedByCoord.out.bam	114275140.0	114275140.0	16497245668.0	5858695891.0	623.9935	233.0	245.6877	0.0	182.96	100.0
Nobt6DPA3	STAR/Nobt/Nobt6DPA3.Aligned.sortedByCoord.out.bam	114372796.0	114372796.0	16388261894.0	5810675418.0	610.064	220.0	245.5468	0.0	181.7514	100.0
NobtPre1	STAR/Nobt/NobtPre1.Aligned.sortedByCoord.out.bam	132425078.0	132425078.0	14166969172.0	5039496386.0	663.2463	250.0	245.8025	0.0	157.1165	100.0
NobtPre2	STAR/Nobt/NobtPre2.Aligned.sortedByCoord.out.bam	126050850.0	126050850.0	17472467229.0	6044587208.0	702.5634	268.0	245.6764	0.0	193.7756	100.0
NobtPre3	STAR/Nobt/NobtPre3.Aligned.sortedByCoord.out.bam	126249902.0	126249902.0	16954258588.0	6027320609.0	707.9103	278.0	245.5921	0.0	188.0285	100.0
Nobtbr1	STAR/Nobt/Nobtbr1.Aligned.sortedByCoord.out.bam	19106412.0	19106412.0	2740052648.0	956753553.0	0.0	0.0	243.5603	0.0	30.3881	100.0
Nobtbr1.1	STAR/Nobt/Nobtbr1.1.Aligned.sortedByCoord.out.bam	10760643.0	10760643.0	1553738924.0	541595931.0	0.0	0.0	243.7428	0.0	17.2315	100.0
Nobtbr2	STAR/Nobt/Nobtbr2.Aligned.sortedByCoord.out.bam	63679384.0	63679384.0	9407308241.0	3234727106.0	0.0	0.0	243.1275	0.0	104.3302	100.0
Nobtbr2.1	STAR/Nobt/Nobtbr2.1.Aligned.sortedByCoord.out.bam	35000367.0	35000367.0	5216000415.0	1792436853.0	0.0	0.0	243.2339	0.0	57.8472	100.0
Nobtbr3	STAR/Nobt/Nobtbr3.Aligned.sortedByCoord.out.bam	25204054.0	25204054.0	3733917661.0	1271385753.0	0.0	0.0	243.2081	0.0	41.4104	100.0
Nobtbr3.1	STAR/Nobt/Nobtbr3.1.Aligned.sortedByCoord.out.bam	14289930.0	14289930.0	2128796474.0	726046753.0	0.0	0.0	243.6242	0.0	23.6091	100.0
SP15DPA1	STAR/Spimp/SP15DPA1.Aligned.sortedByCoord.out.bam	188096440.0	188096440.0	40183034368.0	13217516758.0	910.5717	285.0	247.4162	0.0	331.5156	100.0
SP15DPA2	STAR/Spimp/SP15DPA2.Aligned.sortedByCoord.out.bam	101635746.0	101635746.0	21757697369.0	7079772695.0	923.1215	274.0	246.8786	0.0	179.504	100.0
SP15DPA3	STAR/Spimp/SP15DPA3.Aligned.sortedByCoord.out.bam	8473936.0	8473936.0	1830491429.0	596376836.0	907.3699	288.0	249.0441	0.0	15.1018	100.0
SP1DPA1	STAR/Spimp/SP1DPA1.Aligned.sortedByCoord.out.bam	84792540.0	84792540.0	17728107260.0	5756464127.0	1115.9584	269.0	247.9547	0.0	146.2594	100.0
SP1DPA2	STAR/Spimp/SP1DPA2.Aligned.sortedByCoord.out.bam	87569216.0	87569216.0	17522794756.0	5916190932.0	1057.4116	270.0	247.8518	0.0	144.5655	100.0
SP1DPA3	STAR/Spimp/SP1DPA3.Aligned.sortedByCoord.out.bam	77763020.0	77763020.0	16795110792.0	5272287587.0	1156.5474	273.0	247.6532	0.0	138.562	100.0
SP3DPA1	STAR/Spimp/SP3DPA1.Aligned.sortedByCoord.out.bam	86312399.0	86312399.0	17118377150.0	5799925856.0	1005.8008	258.0	247.4318	0.0	141.229	100.0
SP3DPA2	STAR/Spimp/SP3DPA2.Aligned.sortedByCoord.out.bam	92650790.0	92650790.0	19473711211.0	6381746544.0	1051.6626	273.0	247.5252	0.0	160.6608	100.0
SP3DPA3	STAR/Spimp/SP3DPA3.Aligned.sortedByCoord.out.bam	200615891.0	200615891.0	40604068823.0	13486471539.0	1014.5952	257.0	247.0824	0.0	334.9892	100.0
SPbreaker1	STAR/Spimp/SPbreaker1.Aligned.sortedByCoord.out.bam	98325240.0	98325240.0	21969224320.0	6914116131.0	932.005	296.0	247.156	0.0	181.2492	100.0
SPbreaker2	STAR/Spimp/SPbreaker2.Aligned.sortedByCoord.out.bam	101799978.0	101799978.0	22905775423.0	7134468796.0	963.9434	308.0	247.3602	0.0	188.9758	100.0
SPbreaker3	STAR/Spimp/SPbreaker3.Aligned.sortedByCoord.out.bam	100366294.0	100366294.0	22296580103.0	7059398793.0	907.8278	285.0	247.3271	0.0	183.9499	100.0
SPrr1	STAR/Spimp/SPrr1.Aligned.sortedByCoord.out.bam	113104329.0	113104329.0	24607836897.0	7587358497.0	1009.53	272.0	247.297	0.0	203.0181	100.0
SPrr2	STAR/Spimp/SPrr2.Aligned.sortedByCoord.out.bam	92575201.0	92575201.0	20493676244.0	6390211281.0	986.8852	299.0	247.0031	0.0	169.0757	100.0
SPrr3	STAR/Spimp/SPrr3.Aligned.sortedByCoord.out.bam	189012759.0	189012759.0	43254605667.0	12367184680.0	1080.7324	307.0	247.0251	0.0	356.8565	100.0
SRR3199616	STAR/Melon/SRR3199616.Aligned.sortedByCoord.out.bam	8045291.0	8045291.0	1150052086.0	346531064.0	0.0	0.0	249.1595	0.0	15.1975	100.0
SRR3199617	STAR/Melon/SRR3199617.Aligned.sortedByCoord.out.bam	5595930.0	5595930.0	811224775.0	241651174.0	0.0	0.0	249.5245	0.0	10.72	100.0
SRR3199618	STAR/Melon/SRR3199618.Aligned.sortedByCoord.out.bam	5883364.0	5883364.0	853351014.0	257499627.0	0.0	0.0	249.365	0.0	11.2767	100.0
SRR3199622	STAR/Melon/SRR3199622.Aligned.sortedByCoord.out.bam	4350656.0	4350656.0	700321239.0	182596730.0	0.0	0.0	249.0928	0.0	9.2545	100.0
SRR3199623	STAR/Melon/SRR3199623.Aligned.sortedByCoord.out.bam	6467392.0	6467392.0	1009055462.0	283017351.0	0.0	0.0	249.1966	0.0	13.3343	100.0
SRR3199624	STAR/Melon/SRR3199624.Aligned.sortedByCoord.out.bam	8984909.0	8984909.0	1356479718.0	397584631.0	0.0	0.0	249.2173	0.0	17.9253	100.0
SRR3199628	STAR/Melon/SRR3199628.Aligned.sortedByCoord.out.bam	6465227.0	6465227.0	882417996.0	252989623.0	0.0	0.0	249.3918	0.0	11.6608	100.0
SRR3199629	STAR/Melon/SRR3199629.Aligned.sortedByCoord.out.bam	8486868.0	8486868.0	1212409786.0	355217343.0	0.0	0.0	249.1793	0.0	16.0215	100.0
SRR3199630	STAR/Melon/SRR3199630.Aligned.sortedByCoord.out.bam	4664213.0	4664213.0	726242721.0	185819463.0	0.0	0.0	248.7503	0.0	9.597	100.0
SRR3199635	STAR/Melon/SRR3199635.Aligned.sortedByCoord.out.bam	7927968.0	7927968.0	1239606217.0	326563664.0	0.0	0.0	248.2972	0.0	16.3809	100.0
SRR3199656	STAR/Melon/SRR3199656.Aligned.sortedByCoord.out.bam	9508783.0	9508783.0	1578888106.0	381544600.0	0.0	0.0	247.7978	0.0	20.8644	100.0
SRR3199657	STAR/Melon/SRR3199657.Aligned.sortedByCoord.out.bam	8699451.0	8699451.0	1280908731.0	378607728.0	0.0	0.0	248.6008	0.0	16.9267	100.0
