Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
ERR2809800	14.8214	100.0	14791826.0	14791826.0	0.0	80.46	10292232.0
ERR2809801	11.8777	100.0	13337011.0	13337011.0	0.0	80.5	9291675.0
ERR2809802	14.7438	100.0	19670252.0	19670252.0	0.0	38.54	4681861.0
ERR2809803	11.6983	100.0	17428719.0	17428719.0	0.0	38.61	4153980.0
ERR2809804	12.1381	100.0	17691534.0	17691534.0	0.0	29.24	3026548.0
ERR2809805	9.8527	100.0	15566594.0	15566594.0	0.0	29.35	2673740.0
ERR2809806	41.6294	100.0	39480335.0	39480335.0	0.0	62.67	17815948.0
ERR2809807	37.3341	100.0	28409283.0	28409283.0	0.0	79.23	18602464.0
ERR2809808	48.1423	100.0	32167567.0	32167567.0	0.0	72.6	18266025.0
ERR2809809	13.803	100.0	14448332.0	14448332.0	0.0	66.75	7597681.0
ERR2809810	11.341	100.0	13069538.0	13069538.0	0.0	66.89	6858248.0
ERR2809811	15.524	100.0	14184050.0	14184050.0	0.0	64.52	7389425.0
ERR2809812	11.5671	100.0	12797651.0	12797651.0	0.0	64.49	6662718.0
ERR2809813	18.1343	100.0	16071330.0	16071330.0	0.0	59.8	7416559.0
ERR2809814	14.7601	100.0	14698619.0	14698619.0	0.0	59.68	6773576.0
ERR2809815	33.5985	100.0	25683448.0	25683448.0	0.0	80.13	17129049.0
ERR2809816	41.5525	100.0	29566569.0	29566569.0	0.0	83.09	21037038.0
ERR2809817	38.9585	100.0	28470455.0	28470455.0	0.0	89.02	22853979.0
Nobt3DPA1	138.9636	100.0	300934846.0	300934846.0	0.0	63.1	38626770.0
Nobt3DPA2	154.5467	100.0	118288736.0	118288736.0	0.0	93.78	51470078.0
Nobt3DPA3	193.4102	100.0	122336974.0	122336974.0	0.0	94.55	54384061.0
Nobt6DPA1	235.4537	100.0	151078075.0	151078075.0	0.0	94.79	67079819.0
Nobt6DPA2	182.96	100.0	114275140.0	114275140.0	0.0	94.79	50971736.0
Nobt6DPA3	181.7514	100.0	114372796.0	114372796.0	0.0	94.64	50777090.0
NobtPre1	157.1165	100.0	132425078.0	132425078.0	0.0	86.96	43912690.0
NobtPre2	193.7756	100.0	126050850.0	126050850.0	0.0	91.85	52985513.0
NobtPre3	188.0285	100.0	126249902.0	126249902.0	0.0	91.67	53032676.0
Nobtbr1	30.3881	100.0	19106412.0	19106412.0	0.0	92.41	16161964.0
Nobtbr1.1	17.2315	100.0	10760643.0	10760643.0	0.0	92.4	9081580.0
Nobtbr2	104.3302	100.0	63679384.0	63679384.0	0.0	93.57	55855259.0
Nobtbr2.1	57.8472	100.0	35000367.0	35000367.0	0.0	93.71	30716967.0
Nobtbr3	41.4104	100.0	25204054.0	25204054.0	0.0	93.34	21461672.0
Nobtbr3.1	23.6091	100.0	14289930.0	14289930.0	0.0	93.42	12160794.0
SP15DPA1	331.5156	100.0	188096440.0	188096440.0	0.0	95.39	88769896.0
SP15DPA2	179.504	100.0	101635746.0	101635746.0	0.0	95.37	47612081.0
SP15DPA3	15.1018	100.0	8473936.0	8473936.0	0.0	95.73	4002281.0
SP1DPA1	146.2594	100.0	84792540.0	84792540.0	0.0	87.66	37494648.0
SP1DPA2	144.5655	100.0	87569216.0	87569216.0	0.0	87.01	38470400.0
SP1DPA3	138.562	100.0	77763020.0	77763020.0	0.0	88.18	34475728.0
SP3DPA1	141.229	100.0	86312399.0	86312399.0	0.0	87.98	38638490.0
SP3DPA2	160.6608	100.0	92650790.0	92650790.0	0.0	91.46	42134675.0
SP3DPA3	334.9892	100.0	200615891.0	200615891.0	0.0	88.66	90782119.0
SPbreaker1	181.2492	100.0	98325240.0	98325240.0	0.0	95.89	46399748.0
SPbreaker2	188.9758	100.0	101799978.0	101799978.0	0.0	95.77	48098245.0
SPbreaker3	183.9499	100.0	100366294.0	100366294.0	0.0	96.07	47567141.0
SPrr1	203.0181	100.0	113104329.0	113104329.0	0.0	92.19	50828662.0
SPrr2	169.0757	100.0	92575201.0	92575201.0	0.0	94.57	43120639.0
SPrr3	356.8565	100.0	189012759.0	189012759.0	0.0	89.24	83722136.0
SRR3199616	15.1975	100.0	8045291.0	8045291.0	0.0	94.91	7498534.0
SRR3199617	10.72	100.0	5595930.0	5595930.0	0.0	94.67	5202900.0
SRR3199618	11.2767	100.0	5883364.0	5883364.0	0.0	95.25	5524783.0
SRR3199622	9.2545	100.0	4350656.0	4350656.0	0.0	92.47	3994611.0
SRR3199623	13.3343	100.0	6467392.0	6467392.0	0.0	93.79	6083777.0
SRR3199624	17.9253	100.0	8984909.0	8984909.0	0.0	95.42	8484994.0
SRR3199628	11.6608	100.0	6465227.0	6465227.0	0.0	92.05	5743807.0
SRR3199629	16.0215	100.0	8486868.0	8486868.0	0.0	94.59	7770892.0
SRR3199630	9.597	100.0	4664213.0	4664213.0	0.0	76.52	4154477.0
SRR3199635	16.3809	100.0	7927968.0	7927968.0	0.0	91.85	7088522.0
SRR3199656	20.8644	100.0	9508783.0	9508783.0	0.0	91.57	8318255.0
SRR3199657	16.9267	100.0	8699451.0	8699451.0	0.0	94.97	8100920.0
